Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58710.45703125,-0.0858616238415355,,-0.21142168030815145,
58710.45703125,-0.9269085328515458,,-0.07037171954032861,
58710.4609375,-2.5890863376052464,,0.21470037232274697,
58711.48828125,2.756053432910397,,-1.077323553466334,
58711.4921875,0.05043778110938568,,-0.8913154456106351,
58712.48828125,0.4338185314523666,,-1.743903959625491,
58712.48828125,-0.043947832765997674,,-1.9604124977508768,
58712.48828125,0.7502903485566104,,-0.7881742386437973,
58714.4921875,1.4581675044264886,,-1.147006594708988,
58714.4921875,1.4007014517524015,,-0.9083424219177134,
58714.4921875,0.9572739933940424,,-1.2011515358249794,
58715.48828125,-0.7621668835252353,,0.7414491311333609,
58715.4921875,-0.1620784537665454,,0.22719138985123344,
58715.4921875,-0.3064009389159694,,-0.19878336621028003,
58715.4921875,-0.8441389502521404,,0.2779194888758909,
58715.49609375,-2.3637578015283225,,2.564292490542698,
58716.44921875,1.7277582368046933,,0.22562984576436973,
58716.44921875,0.13741681600410294,,-0.1943741924194149,
58716.44921875,-0.3340697853214287,,-0.36947877761732073,
58716.453125,-0.1810369930673239,,-1.2854510229964256,
58719.453125,-1.4395430211866738,,-1.9056833981973882,
58719.453125,-1.5003073139836824,,-1.7228487929003795,
58719.453125,-0.6471492830809842,,-0.9471310913812028,
58719.45703125,-0.13850461519199442,,-2.51435425048113,
58719.45703125,0.32744322440842843,,-1.3495190090268654,
58719.4609375,-0.6823033190311305,,-2.741124394298244,
58720.4609375,1.2977299134692002,,-0.20455606429857465,
58720.46484375,0.15051723396670047,,-0.6461647959288874,
58720.46484375,-2.149070475899184,,-0.6086925645786279,
58720.46484375,-0.8917649717593328,,-0.4145057591481667,
58720.46875,-2.5557335382676714,,-1.043170249280453,
58720.46875,0.004902627630451573,,-0.016083636858263528,
58720.46875,-1.4078244975638325,,-0.7014400077577294,
58720.47265625,2.081202772556413,,-0.8583292163545373,
58720.47265625,-2.855273075883839,,-2.0787747546330353,
58720.47265625,-2.3957436470263374,,-1.657109115131162,
58720.4765625,2.899769781238661,,-1.5815287933961604,
58720.48046875,-2.5973601124001893,,-2.1097132308119977,
58720.48046875,3.6322466618553295,,-1.608286679872204,
58720.48046875,-2.1343489338768915,,-1.872727461093108,
58720.484375,-3.0215214833328687,,-1.1400501508949432,
58720.484375,5.12407894237664,,-2.018652285588827,
58720.484375,-1.6061251080162244,,-1.34428014437565,
58720.48828125,-0.9927714360321511,,-0.9524610868675358,
58720.48828125,-3.6113788481192652,,-1.5591802128663592,
58720.48828125,4.8674323199396445,,-0.562283373112769,
58763.359375,-0.733359609539761,,0.24152674484319897,
58763.359375,-0.6076977486368392,,-0.6375378260206602,
58763.359375,0.8785951841529595,,0.6551761991973536,
58763.36328125,-1.7673788533388555,,0.8730954271188559,
58763.36328125,0.5309717341147566,,1.4300457429855564,
58764.359375,1.119832581559495,,-0.6751572675451194,
58764.359375,-0.38140732814223804,,0.04406970270348859,
58764.359375,-0.8677439968472747,,1.0110582268772752,
58764.36328125,0.5109550797129119,,0.3972059520749011,
58764.36328125,-1.0623962017389708,,-0.032158830926341225,
58764.3671875,-0.5273116255661288,,0.6610891124320668,
58764.3671875,-1.75380972458339,,0.2777849653555779,
58764.3671875,0.416504598708092,,0.6232634887437836,
58764.37109375,-0.27610926698059374,,-0.4751230117784682,
58764.37109375,0.7330651397466852,,0.6328595639161279,
58764.37109375,0.255481139011146,,0.671753379104792,
58764.37109375,-0.660846450058958,,-0.2963794810438539,
58764.375,-1.3019909577330357,,-0.25986448997133876,
58764.375,2.155239620226391,,-1.506478002501078,
58764.37890625,0.01090528331703422,,0.11524280901765382,
58764.37890625,-0.7479691784983691,,0.17984236848930707,
58764.37890625,-1.113275166007183,,-0.22542049165812894,
58764.3828125,0.5592967414574095,,-0.4178898600602214,
58764.3828125,-1.2605266237407986,,-0.5530988434948259,
58764.3828125,1.253891754559999,,0.9035826317200015,
58764.3828125,-1.9433925241805985,,-0.20592630243002602,
58764.38671875,1.7985218012413502,,-1.2374982206254121,
58764.38671875,-1.351156956805061,,0.010553950506936617,
58764.38671875,1.3211484536181453,,0.7943642627399803,
58772.41015625,-1.3750804096098928,,1.7491838242102058,
58772.41015625,-0.9688300749776824,,1.5985182063748704,
58772.41015625,-0.9508968846286869,,2.76695586563525,
58772.4140625,-0.4615869461800086,,1.4422272260146967,
58772.4140625,-0.58497444905248,,1.088777570684043,
58780.25390625,0.27447674563930713,,1.0780965175938184,
58780.2578125,-0.26932582819617257,,1.0611385933824231,
58780.2578125,-0.4892675849201775,,1.475629910653303,
58780.26171875,0.08582917563385939,,0.48282379951332866,
58780.26171875,-0.16126012258240152,,0.6345456660889646,
58795.34765625,1.3510810445753871,,0.9799620672905509,
58795.34765625,-0.048309097272859036,,0.11151468472473458,
58795.34765625,-0.44872380329914296,,1.0230988243447685,
58795.3515625,0.4152921708885803,,0.5024056040632953,
58795.3515625,0.5495436691379952,,0.8564353558138803,
58796.2421875,0.9311868181707719,,1.1824185495545412,
58796.2421875,0.14717139677003477,,1.4094881701740283,
58796.2421875,0.19517665134745887,,1.1249716851278542,
58796.2421875,1.2307027309081078,,-0.13371418447185734,
58796.24609375,0.6185825959934611,,0.19421100415372694,
58797.328125,-1.2047988498503859,,-0.24833772578367602,
58797.33203125,-0.2949817413687099,,-0.11674248074972704,
58797.33203125,3.3464850401017934,,-0.4699402192514805,
58797.33203125,-1.0316997524170608,,0.9632982842048738,
58797.33203125,1.8223599737761353,,1.0217599203163652,
58798.19921875,-0.041189080637858755,,1.0332734522694218,
58798.20703125,-0.058104999981482996,,-0.23536360690257896,
58798.20703125,0.7763867886121738,,0.22141962891782674,
58798.2109375,-0.6614508733893257,,-0.3091264981431737,
58798.2109375,-1.125545110426748,,-0.47064261266825147,
58850.140625,-0.03180340698586981,,-0.9521254049763171,
58850.14453125,0.13356992845795768,,-1.5676330177638946,
58850.14453125,-0.6738712150382102,,-0.4340352580567892,
58850.1484375,-0.08619498100888423,,-0.4895612235314277,
58850.15234375,-1.05828171366846,,0.15255419565158546,
59059.4765625,-1.8570604726407087,,1.1821221391941468,
59059.48046875,1.799830974710681,,1.2083209018036944,
59059.48046875,1.763618141174161,,0.502575117176152,
59059.48046875,0.6464804550650574,,0.23497769586338074,
59060.48046875,0.03834258540519564,,0.5436618301716799,
59060.48046875,0.9615732689848502,,0.12587853428733786,
59060.48046875,2.815084977355953,,0.08625537572092253,
59060.48046875,0.8571071543856587,,-0.4887257856837831,
59061.48046875,0.6132877752667871,,0.3787965963647759,
59061.48046875,0.12795369888101393,,1.4859263270474241,
59061.48046875,0.6261929019510084,,1.5160226952664921,
59063.484375,0.4755698153211876,,-0.8224441839239995,
59063.484375,0.9002501173425108,,-0.11225204942188527,
59063.484375,-0.4654939617550524,,-0.7206138052852595,
59065.484375,-0.7402836766328784,,0.18932300431912896,
59065.484375,1.3685364468329813,,-1.4808069335998557,
59065.48828125,-0.6543969827130549,,1.265011627782118,
59118.3828125,0.16065228080558147,,0.016994224615044087,
59118.38671875,1.2775088976822555,,0.08269376008211995,
59118.38671875,0.7329750491717708,,0.7073362511707297,
59119.37890625,-0.6384607179243232,,0.8409027555715113,
59119.37890625,1.2953243741313325,,0.44062596429710554,
59119.3828125,-0.8990297508303882,,1.5020150013682012,
59120.3828125,-1.5848672780260356,,0.6467148332513486,
59120.38671875,-0.6836688690837269,,1.206545477043415,
59120.38671875,-1.5633693565119982,,0.4058718189638737,
59121.375,0.5140761123832958,,-1.2996406665329827,
59121.375,-0.02826859961893391,,0.07049335210987195,
59121.37890625,-1.5549648569435812,,1.5533205908798318,
59121.37890625,0.6100877091952399,,0.9274983714206981,
59121.37890625,-1.561322996252915,,2.2348801462047905,
59122.3515625,0.8250102027478385,,-0.02556804303033805,
59122.35546875,1.02535055804584,,0.5007914307732231,
