Source	Time	Halpha	Error	NaD	Error	S_MW	Error	log RHK (Noyes)	Error
	(BJD-2450000)
-------------------------------------------------
DRS2-2-8/2015-08-19/r.HARPN.2015-08-20T01:58:09.071	7254.5939213801175	0.2002522163784736	7.820299640961378e-05	0.4486560373388965	5.4170876806536506e-05	0.15524499927041457	0.00011328242217259371	-4.959281081977324	0.000784936867896901
DRS2-2-8/2015-08-22/r.HARPN.2015-08-23T01:37:37.786	7257.5797928799875	0.2000001356291445	8.642044642740912e-05	0.4477654700580057	6.308475183631191e-05	0.15435299563735932	0.00014329133470985123	-4.9655062011013635	0.0010072035521934745
DRS2-2-8/2015-09-01/r.HARPN.2015-09-02T02:36:31.261	7267.620595139917	0.2004822957103251	8.66303152842201e-05	0.45004048025395066	6.259322837931293e-05	0.15660760029142654	0.00014578629120571288	-4.949940748653318	0.0009886636253284807
DRS2-2-8/2015-09-03/r.HARPN.2015-09-04T01:11:07.675	7269.5611444697715	0.19872309131226557	8.928849990521247e-05	0.4440155525967023	6.826080361075799e-05	0.15565328672592119	0.0001608139475405022	-4.956461221988524	0.0011070724784739917
DRS2-2-8/2015-09-04/r.HARPN.2015-09-05T00:47:33.136	7270.544775689952	0.1997260083816308	4.9333381476173516e-05	0.444912895818273	3.6961771447759535e-05	0.1556062182700314	7.665829290631922e-05	-4.956785370742999	0.0005281236719413914
DRS2-2-8/2015-09-05/r.HARPN.2015-09-06T00:52:19.348	7271.548153080046	0.19808334897071578	4.533853611167161e-05	0.4363560414279129	3.4466807636866407e-05	0.15530573732396782	7.40037327057636e-05	-4.958860430199314	0.0005122773753029678
DRS2-2-8/2015-09-06/r.HARPN.2015-09-07T01:48:04.609	7272.586905559991	0.20099184687368557	7.290546833684781e-05	0.4450542099193419	5.0780595138622965e-05	0.15475635372908597	0.00010906250812750702	-4.962680187021903	0.0007616348147831781
DRS2-2-8/2015-10-05/r.HARPN.2015-10-05T23:14:41.776	7301.479202250019	0.19934156441672637	6.001926286983515e-05	0.4356947063572099	4.6195656878574566e-05	0.1553463738331004	0.00010164189719475877	-4.958579222419665	0.0007031421050983156
DRS2-2-8/2015-10-06/r.HARPN.2015-10-06T23:16:15.424	7302.479665089864	0.19931075583298702	8.054488397523202e-05	0.44438086026433826	6.137891699386092e-05	0.15608901879630666	0.00014028480343920084	-4.953471874946539	0.0009591214915943192
DRS2-2-8/2015-10-25/r.HARPN.2015-10-25T22:32:15.203	7321.447820890229	0.19695311815841834	0.00014565207610137116	0.44697405333250106	0.00011938359840088923	0.15380039226431197	0.0002999602703678654	-4.969407958570444	0.0021274669133995207
DRS2-2-8/2015-10-26/r.HARPN.2015-10-26T22:40:21.666	7322.453321930021	0.20364398728181393	6.92425637774585e-05	0.44915114499944675	4.333709256413418e-05	0.15329017761040795	8.06556242450354e-05	-4.973041814182335	0.0005768562344332445
DRS2-2-8/2015-10-29/r.HARPN.2015-10-29T19:07:56.396	7325.305567719974	0.20250780820739714	9.53923986094337e-05	0.451615400805579	6.176597501067394e-05	0.15257902766766346	0.0001409255118847523	-4.978158040117491	0.0010198558250453123
DRS2-2-8/2015-11-03/r.HARPN.2015-11-03T19:48:26.235	7330.333203250077	0.20125749944862736	9.158481033796139e-05	0.44439565900726113	6.097862658565761e-05	0.15339064886927722	0.0001154931202991176	-4.972323828580074	0.000824652658082079
DRS2-2-8/2015-11-04/r.HARPN.2015-11-04T19:49:08.121	7331.33356316993	0.199383080139309	7.800789182059865e-05	0.44019421911475803	5.700381280326147e-05	0.15448614826294124	0.0001176252830034585	-4.9645712702179425	0.0008250173299070863
DRS2-2-8/2015-11-05/r.HARPN.2015-11-05T19:46:20.812	7332.331813970115	0.20168219346882899	9.658844527609623e-05	0.446679730022554	6.806443411789519e-05	0.15391497828395373	0.00014017496217076815	-4.968596017185796	0.0009923333435947544
DRS2-2-8/2015-11-09/r.HARPN.2015-11-09T19:50:30.054	7336.334194549825	0.2017428256310118	8.003214030587003e-05	0.4456450722525647	5.5953662250024626e-05	0.1535445808177106	0.0001129910088365949	-4.97122610059713	0.0008047502244901836
DRS2-2-8/2015-11-25/r.HARPN.2015-11-25T19:38:34.144	7352.323488209862	0.2024846270869903	0.0007893713263384461	0.4851565154583547	0.0005983294733552238	0.1409386659594079	0.0020698801980386823	-5.071806053702589	0.01858413634892496
DRS2-2-8/2015-11-26/r.HARPN.2015-11-26T19:57:18.820	7353.337797979824	0.20073181556407985	0.0003582384101981613	0.45467067308867826	0.0002611571902608639	0.1504829549258452	0.0007226849707886032	-4.993598233473717	0.005419239891721674
DRS2-2-8/2015-11-27/r.HARPN.2015-11-27T19:54:14.779	7354.335383119993	0.19959541887218135	0.000480211767705205	0.46329234386138085	0.00035333956654178553	0.15399054183488542	0.0010405096778593292	-4.968061413232654	0.007356964439860119
DRS2-2-8/2015-11-27/r.HARPN.2015-11-27T20:13:34.187	7354.35621677991	0.20134187241523469	0.00013568373291022767	0.45480836031067384	8.810946305547957e-05	0.15340974050125172	0.00017270250937323847	-4.972187530464515	0.0012327564912772149
DRS2-2-8/2015-11-29/r.HARPN.2015-11-29T18:59:53.485	7356.297146840021	0.20013215678385413	0.00012854305772252222	0.44354065679617316	9.199642792532394e-05	0.1535984493871209	0.000211217040436133	-4.970842604542571	0.001503012793313162
DRS2-2-8/2015-12-22/r.HARPN.2015-12-22T19:14:17.851	7379.304499379825	0.20180651199089658	0.00043566984413996574	0.4756616329971295	0.00034775572883338253	0.15014623011001726	0.0011039441329505474	-4.996130620356847	0.00832662173348815
