Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58715.48828125,-0.18468584408226363,,-0.5375969671354035,
58719.46875,-1.2863024016221054,,0.3618406353263133,
58719.47265625,-3.3834512057423396,,0.7156727890559225,
58720.49609375,-2.5986853588327428,,1.2164599206619506,
58764.3984375,0.9405461108441591,,0.2864813806725488,
58764.40234375,4.0751879650174825,,-2.390396801625774,
58764.40234375,2.9292023539424688,,-0.2754780850820109,
58772.44921875,-2.2946205828796353,,0.2486378204900932,
58772.44921875,-0.947501713212989,,0.04974282777657191,
58772.453125,-3.3356380829933165,,2.0297065901350244,
58780.3515625,-2.141334797604901,,-0.05723585540964127,
58780.3515625,-1.0053012551240421,,0.3020919302345,
58780.35546875,-1.0960512494381924,,0.2021070612674003,
58781.43359375,-0.4578180127782634,,0.0025640101543462634,
58781.4375,1.7467339195360765,,-3.2014386057537436,
58781.44140625,-0.8656703046269216,,0.8224036066905045,
58788.44140625,-2.1257092325209115,,1.1363976127094944,
58788.44140625,-1.762876373834092,,0.04877227355392488,
58788.4453125,-1.6462314251091046,,-0.5447098333741875,
58794.3984375,1.6160109195447774,,0.6982052926750555,
58794.40234375,0.3426510670936507,,3.207527059188682,
58794.40234375,2.273830380527933,,1.1085010660669,
58794.40625,0.39167438407997235,,2.8418838691554855,
58795.39453125,1.3921917898200826,,2.2838713462278752,
58795.39453125,0.41653129163307767,,3.34345518425863,
58795.3984375,2.652489096241669,,1.221938297618789,
58795.40234375,2.4044310094023835,,1.6111401832861993,
58796.33984375,1.373130885787412,,1.3950343010417958,
58796.33984375,1.0649174621188524,,2.0465704786166055,
58796.34375,3.542212173695024,,0.36273279829043403,
58796.34375,-0.6168903803417711,,3.598678614045979,
58797.38671875,1.6908089561895805,,1.9509219044677524,
58797.38671875,1.9308520228828059,,0.375734794805777,
58797.38671875,2.639109186785575,,1.086545013715508,
58797.390625,3.1538637210620943,,-0.7519094717328865,
58798.21484375,2.475221585834608,,0.6286369603696,
58798.21875,3.027393608464589,,-0.24778432983850607,
