Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58715.48828125,-0.31051893924167295,,-0.4117638719759942,
58719.46875,-0.04849132926560884,,-0.8759704370301833,
58719.47265625,-3.3021118481925065,,0.6343334315060893,
58720.49609375,-2.330529038293168,,0.9483036001223759,
58764.3984375,1.0748062081773089,,0.152221283339399,
58764.40234375,2.5024546885602437,,-0.8176635251685358,
58764.40234375,2.0083224232522836,,0.6454018456081743,
58772.44921875,-2.529868991044495,,0.4838862286549528,
58772.44921875,-1.260432020398901,,0.3626731349624839,
58772.453125,-3.633903832783142,,2.32797233992485,
58780.3515625,-2.773774779783561,,0.5752041267690184,
58780.3515625,-1.5704291547667135,,0.8672198298771714,
58780.35546875,-1.1869324208951033,,0.2929882327243112,
58781.43359375,-1.2399396691947375,,0.7846856665708204,
58781.4375,1.5718015371930667,,-3.026506223410734,
58781.44140625,-0.014746430660880883,,-0.02852026727553625,
58788.44140625,-2.733739080201685,,1.744427460390268,
58788.44140625,-2.1085251135099075,,0.3944210132297403,
58788.4453125,-1.8234930629472217,,-0.36744819553607044,
58794.3984375,1.550380186811509,,0.7638360254083238,
58794.40234375,-0.4459868601241128,,3.9961649864064457,
58794.40234375,2.0961023655739215,,1.2862290810209114,
58794.40625,1.158694309215698,,2.07486394401976,
58795.39453125,1.1764057866483801,,2.4996573493995777,
58795.39453125,1.095270780900952,,2.664715694990756,
58795.3984375,1.922157283595101,,1.9522701102653568,
58795.40234375,1.906935998127259,,2.108635194561324,
58796.33984375,0.7521398633136558,,2.016025323515552,
58796.33984375,1.671091951312103,,1.440395989423355,
58796.34375,3.1744177877356208,,0.7305271842498371,
58796.34375,-1.0902353431673646,,4.0720235768715725,
58797.38671875,1.9221922298013656,,1.7195386308559673,
58797.38671875,2.495600603502058,,-0.18901378581347528,
58797.38671875,1.6921372793401024,,2.0335169211609805,
58797.390625,2.7286201402374664,,-0.3266658909082585,
58798.21484375,3.213033652391072,,-0.10917510618686399,
58798.21875,3.4124109505966658,,-0.6328016719705829,
58798.22265625,-0.09431474846037102,,1.508262405992704,
58798.2265625,1.67778327503648,,-1.0878102268791472,
58833.328125,-0.34456863535285454,,2.4222736171039374,
58833.3359375,1.7049460733690474,,1.3149891329914105,
58833.33984375,2.1865332148042196,,0.08572132749373851,
58833.34375,1.4850754672762978,,0.5125208718966601,
58850.19921875,0.3124300301805327,,-2.015090038663825,
58850.203125,-1.6564699376753502,,0.1445447924733081,
58850.203125,-3.08995649032995,,0.8990152318466578,
58850.20703125,-0.09642841963717075,,-1.2972411103304964,
58852.12890625,-0.387533515970782,,-1.6813374300125101,
58852.1328125,-2.1911455704096454,,-0.4728181490111467,
58852.1328125,-0.2656792212205694,,-0.20483357046584771,
58852.13671875,-2.2413050960991647,,-0.3730675588685024,
58872.171875,2.6820705560311557,,-3.106806980530073,
58872.171875,0.6309804372635908,,-1.307486881293758,
58872.17578125,0.3550531165123427,,-0.5699811914018849,
58872.17578125,-0.13752098669429547,,-2.4310753010858717,
58884.15625,4.776372659670709,,-2.6223737326071257,
58884.16015625,4.0984629226754565,,-1.8147642885806237,
58884.1640625,3.4541586949784495,,-2.4369395530711166,
58884.171875,3.3165489389876424,,-0.9222240841896845,
59088.49609375,5.784702094112106,,-4.958217815486023,
59088.5,0.8309750131464639,,-2.701481701317256,
59090.4921875,2.0421336612168695,,-0.3611571950907866,
59097.5,2.6019321315020036,,3.2599525377490792,
59097.5,4.240589743189501,,2.292681644811582,
59099.4765625,1.2616731389063833,,1.4797891670634495,
59099.48046875,-1.3287917894545522,,3.025027044643135,
59099.48046875,3.009835330885764,,-0.34848166749405607,
59109.46875,2.7493184273446296,,0.9801504704220783,
59109.47265625,2.736587906644364,,0.7945167333098437,
59109.47265625,0.9858079185784252,,1.6106958912976577,
59118.44140625,-2.7362885765791987,,0.6254559606740315,
59118.44140625,-1.1147836134511702,,-0.847275809094622,
59118.4453125,-2.570891110039483,,-1.161187843756309,
59119.4375,-0.7129111262251826,,-1.3979214896799845,
59119.4375,-0.8459685769728229,,-1.5891133065104692,
59119.44140625,-2.6378453368330943,,0.07306374631855217,
59120.48046875,-0.8842977594851567,,-2.4281644950918855,
59120.484375,2.748864845127102,,-4.470598339938519,
59120.484375,-0.04093881848901848,,-2.2987756333536487,
59121.390625,-1.3580179903657168,,-1.0541757095238253,
59121.39453125,-1.853949674597132,,-1.4966595526361601,
59121.3984375,-1.6475622223079611,,-1.607679573284706,
59122.4296875,-1.3279810454572498,,-2.0417016681041673,
59122.4296875,-1.8815982269475118,,-2.3006150041920304,
59122.43359375,-2.705016175342829,,0.04868185045328666,
59123.49609375,-1.8109082413463309,,-1.4977393159650862,
59123.49609375,-1.8973598658334243,,-0.6864952110092428,
59123.49609375,-2.897469034429477,,-0.80027764397569,
59132.48046875,0.38260013577250707,,2.503820666291076,
59132.48046875,2.852453004276208,,2.2503069091155,
59132.484375,2.7419305430665917,,1.8763628175907412,
59146.28515625,0.2461387574757108,,4.227196107087872,
59146.28515625,2.461655433444202,,1.988791247525631,
59146.296875,-0.9616341703313847,,3.2758503825512175,
59146.296875,0.9599727564446479,,2.346064744837685,
59152.37890625,-3.8678993832619852,,-0.2380199025650569,
59152.37890625,-4.577114755843464,,0.10498453251642204,
59152.3828125,-4.8185193731826885,,1.0673669330587714,
59153.40625,-8.193501939542402,,1.0892306029341103,
59153.40625,-4.794490562786894,,-0.677090344133898,
59153.453125,-4.171010738485132,,-2.1054712914825355,
59153.453125,-3.391129476395051,,-2.1109690086507413,
59153.453125,-3.370351010366159,,-1.0292999649140082,
59156.3671875,-0.14376789008048263,,-5.7398003215278095,
59156.41015625,-4.878305123768964,,0.02851987114504695,
59156.4140625,-0.8811903768327802,,-4.487393703916137,
59156.4140625,-2.969533863494487,,-2.2045006567075554,
59168.296875,-0.8791759358427118,,1.3470786715000447,
59179.33203125,1.315436348759039,,0.5562749806482938,
59179.3359375,1.1166564294390005,,1.8040966480152074,
59179.3359375,2.2886056906948515,,0.9792848379312313,
59180.2265625,-1.6432029577024392,,2.050070537109772,
59180.23046875,1.6318906099069126,,-0.4849717609683297,
59180.234375,0.9595735580873392,,1.0570962674137436,
