# Transit, Planet, Epoch, T_T, b, Depth
K2 UT 2014-Sl-im (Kepler),b,2,2457009.8695,0.0016,0.0017,0.31,0.28,0.21,0.0002264,0.0000084,0.0000083
Spitzer UT 2016-03-01 (Spit45),b,46,2457448.9257,0.0014,0.0015,0.31,0.28,0.21,0.0002009,0.000012,0.0000098
TESS UT 2018-Sl-im (TESS),b,138,2458366.9522,0.0015,0.0017,0.31,0.28,0.21,0.0002185,0.0000092,0.0000091
TESS UT 2020-S2-8. (TESS),b,209,2459075.4292,0.0020,0.0024,0.31,0.28,0.21,0.0002185,0.0000092,0.0000091
