File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated,Phot. GP [mag],Phot. GP Err. [mag]
34411_200927.1117.fits,59119.46695,5,215,-0.081,0.323,66485.809,0.294,0.144,0.172,2.299,7374.592,19.467,-55.765,-52.102,2.258,-0.798,2020-12-22T04:30:25.634,0.000000,0.001020
34411_200927.1118.fits,59119.46846,5,215,3.638,0.291,66488.886,0.294,0.144,0.172,2.302,7374.247,19.496,-57.302,-53,2.266,-0.798,2020-12-22T04:30:31.210,0.000000,0.001020
34411_200927.1119.fits,59119.46999,5,215,1.837,0.319,66487.061,0.295,0.144,0.174,2.296,7377.179,19.452,-57.023,-51.822,2.276,-0.8,2020-12-22T04:30:36.700,0.000000,0.001020
34411_200928.1178.fits,59120.48946,5,217,2.566,0.34,66487.549,0.293,0.146,0.173,2.311,7375.252,19.387,-55.589,-49.887,2.215,-0.792,2020-12-22T04:30:42.175,0.000000,0.001020
34411_200928.1179.fits,59120.4917,5,216,-1.058,0.332,66483.894,0.293,0.146,0.175,2.309,7373.861,19.383,-54.207,-49.182,2.174,-0.788,2020-12-22T04:30:47.500,0.000000,0.001020
34411_200928.1180.fits,59120.4939,5,216,3.217,0.327,66487.93,0.294,0.146,0.172,2.311,7375.157,19.488,-55.16,-50.295,2.235,-0.796,2020-12-22T04:30:52.866,0.000000,0.001020
34411_200929.1112.fits,59121.44704,5,216,1.297,0.324,66486.862,0.294,0.144,0.173,2.303,7376.503,19.423,-53.611,-49.314,2.212,-0.002,2020-12-22T04:30:58.108,0.000000,0.001020
34411_200929.1113.fits,59121.44855,5,216,0.595,0.329,66485.959,0.293,0.144,0.173,2.311,7376.379,19.476,-55.752,-50.492,2.236,-0.001,2020-12-22T04:31:03.508,0.000000,0.001020
34411_200929.1114.fits,59121.45011,5,216,-1.017,0.311,66484.754,0.294,0.144,0.174,2.312,7376.134,19.473,-55.976,-50.902,2.245,-0.796,2020-12-22T04:31:08.736,0.000000,0.001020
34411_200930.1123.fits,59122.45692,5,212,3.531,0.336,66488.316,0.298,0.147,0.176,2.292,7377.433,19.465,-56.291,-51.061,2.271,-0.798,2020-12-22T04:31:14.264,0.000000,0.001020
34411_200930.1124.fits,59122.45787,5,213,2.804,0.334,66487.755,0.297,0.147,0.176,2.296,7379.412,19.468,-55.9,-50.793,2.268,-0.003,2020-12-22T04:31:19.595,0.000000,0.001020
34411_200930.1125.fits,59122.45885,5,213,0.257,0.313,66485.361,0.296,0.147,0.176,2.295,7380.502,19.527,-55.202,-50.619,2.244,-0.792,2020-12-22T04:31:25.188,0.000000,0.001020
34411_201001.1138.fits,59123.51486,5,213,0.756,0.336,66486.947,0.302,0.149,0.172,2.288,7374.367,19.529,-56.13,-51.266,2.265,-0.799,2020-12-22T04:31:30.819,0.000000,0.001020
34411_201001.1139.fits,59123.51605,5,213,2.448,0.323,66487.277,0.3,0.149,0.175,2.293,7373.531,19.436,-55.176,-51.249,2.229,-0.797,2020-12-22T04:31:36.350,0.000000,0.001020
34411_201001.1140.fits,59123.51721,5,212,0,0.329,66484.734,0.302,0.149,0.174,2.294,7375.836,19.43,-56.327,-51.335,2.266,0.002,2020-12-22T04:31:41.791,0.000000,0.001020
34411_201002.1182.fits,59124.48875,5,215,-0.001,0.308,66485.565,0.294,0.144,0.176,2.291,7376.911,19.458,-56.454,-51.999,2.3,0.001,2020-12-22T04:31:47.287,0.000000,0.001020
34411_201002.1183.fits,59124.49006,5,213,1.81,0.315,66487.584,0.296,0.144,0.173,2.281,7377.702,19.481,-56.859,-52.265,2.325,0.002,2020-12-22T04:31:52.727,0.000000,0.001020
34411_201002.1184.fits,59124.49134,5,214,0.19,0.316,66486.537,0.295,0.144,0.174,2.288,7376.441,19.47,-57.463,-52.139,2.306,-0.801,2020-12-22T04:31:58.173,0.000000,0.001020
34411_201010.1151.fits,59132.48605,5,218,1.481,0.318,66486.368,0.294,0.14,0.172,2.3,7375.215,19.456,-58.465,-53.272,2.304,-0.803,2020-12-22T04:32:03.780,0.000000,0.001020
34411_201010.1152.fits,59132.48724,5,219,2.306,0.328,66487.207,0.293,0.14,0.173,2.308,7374.186,19.469,-56.567,-52.631,2.312,-0.803,2020-12-22T04:32:09.137,0.000000,0.001020
34411_201010.1153.fits,59132.48841,5,217,3.283,0.314,66487.448,0.296,0.14,0.172,2.292,7375.199,19.48,-58.298,-53.812,2.379,0.001,2020-12-22T04:32:14.402,0.000000,0.001020
34411_201013.1091.fits,59135.47185,5,209,4.732,0.311,66490.376,0.303,0.148,0.171,2.294,7373.884,19.459,-58.899,-54.694,2.388,-0.809,2020-12-22T04:32:19.849,0.000000,0.001020
34411_201013.1092.fits,59135.47292,5,215,2.355,0.295,66488.115,0.296,0.148,0.175,2.287,7376.679,19.504,-58.926,-52.828,2.354,0,2020-12-22T04:32:25.248,0.000000,0.001020
34411_201013.1093.fits,59135.474,5,210,0.233,0.327,66484.594,0.302,0.148,0.172,2.281,7375.542,19.442,-60.125,-54.261,2.384,0,2020-12-22T04:32:30.516,0.000000,0.001020
34411_201024.1129.fits,59146.26573,5,216,-2.453,0.33,66482.946,0.294,0.14,0.178,2.304,7376.428,19.511,-54.965,-51.05,2.36,-0.796,2020-12-22T04:32:36.324,0.000000,0.001020
34411_201024.1130.fits,59146.26813,5,216,0.886,0.331,66484.186,0.295,0.14,0.173,2.306,7377.243,19.603,-55.503,-51.941,2.394,-0.799,2020-12-22T04:32:41.528,0.000000,0.001020
34411_201024.1131.fits,59146.27035,5,216,-2.634,0.321,66482.525,0.295,0.14,0.174,2.305,7377.659,19.559,-53.906,-50.657,2.348,-0.003,2020-12-22T04:32:46.949,0.000000,0.001020
34411_201024.1132.fits,59146.27257,5,216,-1.413,0.302,66483.896,0.294,0.14,0.171,2.319,7377.121,19.587,-54.851,-51.393,2.37,-0.797,2020-12-22T04:32:52.494,0.000000,0.001020
34411_201024.1133.fits,59146.27486,5,216,-1.625,0.3,66482.965,0.295,0.14,0.173,2.303,7377.362,19.533,-54.678,-51.515,2.359,-0.796,2020-12-22T04:32:58.088,0.000000,0.001020
34411_201030.1156.fits,59152.41757,5,216,-1.974,0.314,66479.829,0.297,0.142,0.172,2.286,7387.529,19.626,-60.796,-55.602,2.529,-0.812,2020-12-22T04:33:03.920,0.000000,0.001020
34411_201030.1157.fits,59152.41921,5,215,-5.895,0.336,66478.239,0.299,0.142,0.174,2.281,7388.932,19.673,-60.876,-55.539,2.522,-0.813,2020-12-22T04:33:09.410,0.000000,0.001020
34411_201030.1158.fits,59152.42094,5,215,-2.661,0.341,66479.315,0.298,0.142,0.172,2.28,7388.027,19.602,-60.281,-55.464,2.514,-0.81,2020-12-22T04:33:14.885,0.000000,0.001020
34411_201031.1120.fits,59153.42041,5,215,0.012,0.358,66482.665,0.297,0.146,0.175,2.28,7385.039,19.681,-61.73,-56.625,2.551,0,2020-12-22T04:33:20.341,0.000000,0.001020
34411_201031.1121.fits,59153.42747,5,216,0.153,0.335,66482.679,0.297,0.146,0.174,2.286,7387.556,19.695,-60.646,-55.977,2.539,-0.815,2020-12-22T04:33:26.080,0.000000,0.001020
34411_201031.1122.fits,59153.42969,5,214,-1.707,0.355,66481.55,0.299,0.146,0.173,2.285,7384.819,19.74,-60.52,-56.053,2.555,0,2020-12-22T04:33:31.613,0.000000,0.001020
34411_201103.1124.fits,59156.37433,5,215,-2.908,0.35,66481.438,0.297,0.149,0.175,2.29,7384.176,19.643,-63.545,-57.324,2.615,-0.823,2020-12-22T04:33:37.743,0.000000,0.001020
34411_201103.1125.fits,59156.37982,5,216,-0.224,0.351,66482.543,0.296,0.149,0.174,2.306,7382.394,19.654,-59.327,-55.641,2.558,-0.003,2020-12-22T04:33:43.786,0.000000,0.001020
34411_201103.1126.fits,59156.3832,5,216,-0.779,0.369,66482.581,0.296,0.149,0.173,2.3,7380.96,19.688,-62.057,-56.499,2.559,-0.815,2020-12-22T04:33:49.940,0.000000,0.001020
34411_201113.1070.fits,59166.29183,5,215,-3.193,0.337,66480.559,0.296,0.148,0.175,2.277,7385.213,19.967,-62.765,-57.517,2.733,-0.828,2020-12-22T04:33:55.937,0.000000,0.001020
34411_201113.1071.fits,59166.29335,5,215,-0.571,0.326,66483.488,0.297,0.148,0.175,2.273,7384.37,19.981,-59.835,-55.32,2.686,0,2020-12-22T04:34:01.697,0.000000,0.001020
34411_201113.1072.fits,59166.29477,5,215,-0.366,0.32,66481.809,0.297,0.148,0.175,2.279,7384.319,19.972,-62.001,-56.473,2.748,-0.827,2020-12-22T04:34:08.076,0.000000,0.001020
34411_201113.1073.fits,59166.29617,5,216,-5.54,0.314,66478.806,0.296,0.148,0.173,2.28,7386.478,20.012,-61.274,-55.487,2.722,-0.001,2020-12-22T04:34:14.078,0.000000,0.001020
34411_201125.1118.fits,59178.26947,5,218,-0.407,0.351,66483.648,0.292,0.137,0.174,2.289,7379.724,20.166,-61.275,-56.823,2.841,-0.827,2020-12-22T04:34:20.139,0.000000,0.001020
34411_201125.1119.fits,59178.27131,5,219,-4.565,0.336,66480.956,0.291,0.137,0.173,2.282,7379.065,20.158,-62.508,-57.488,2.85,-0.827,2020-12-22T04:34:26.242,0.000000,0.001020
34411_201126.1027.fits,59179.43246,5,217,1.011,0.328,66487.087,0.297,0.142,0.173,2.281,7378.298,20.252,-62.787,-57.365,2.881,-0.83,2020-12-22T04:34:32.191,0.000000,0.001020
34411_201126.1028.fits,59179.43392,5,218,-0.49,0.298,66483.936,0.296,0.142,0.172,2.287,7378.909,20.231,-61.174,-56.141,2.833,-0.823,2020-12-22T04:34:38.655,0.000000,0.001020
34411_201126.1029.fits,59179.43535,5,217,-0.617,0.323,66483.07,0.297,0.142,0.173,2.278,7375.923,20.209,-61.507,-56.593,2.828,-0.824,2020-12-22T04:34:44.805,0.000000,0.001020
34411_201127.1106.fits,59180.21478,5,217,0.875,0.315,66486.025,0.294,0.141,0.167,2.295,7377.015,20.18,-61.701,-55.99,2.833,-0.823,2020-12-22T04:34:51.156,0.000000,0.001020
34411_201127.1107.fits,59180.22016,5,218,2.268,0.319,66485.818,0.293,0.141,0.172,2.287,7380.08,20.199,-62.738,-56.465,2.883,-0.828,2020-12-22T04:34:57.286,0.000000,0.001020
34411_201127.1108.fits,59180.22352,5,217,0.203,0.327,66484.723,0.294,0.141,0.172,2.29,7380.446,20.184,-61.88,-56.401,2.841,-0.825,2020-12-22T04:35:03.891,0.000000,0.001020
