File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated,Phot. GP [mag],Phot. GP Err. [mag]
10700_190815.1112.fits,58710.457,5,232,0.346,0.388,-16610.496,0.253,,0.184,1.897,6573.657,29.02,-94.626,-62.148,2.712,-1.031,2020-12-22T04:48:29.136,-0.000001,0.000324
10700_190815.1113.fits,58710.45829,5,234,-1.976,0.377,-16610.702,0.249,,0.184,1.903,6568.817,28.79,-93.523,-62.314,2.668,0,2020-12-22T04:48:35.069,-0.000001,0.000324
10700_190815.1114.fits,58710.45957,5,233,-2.762,0.387,-16612.287,0.25,,0.186,1.899,6564.705,28.767,-93.382,-61.424,2.656,-1.028,2020-12-22T04:48:40.407,-0.000001,0.000324
10700_190816.1136.fits,58711.48779,5,150,0.66,0.515,-16608.024,0.387,0.185,0.182,1.866,6577.591,29.173,-92.372,-61.531,2.764,0.001,2020-12-22T04:48:45.957,-0.000001,0.000322
10700_190816.1138.fits,58711.49036,5,149,0.856,0.481,-16609.184,0.388,0.185,0.187,1.864,6580.917,29.195,-91.612,-62.659,2.729,-1.024,2020-12-22T04:48:56.802,-0.000001,0.000322
10700_190817.1130.fits,58712.48697,5,186,-0.499,0.356,-16611.481,0.327,,0.182,1.867,6602.687,29.936,-93.351,-61.294,2.64,-1.035,2020-12-22T04:49:02.897,-0.000001,0.000321
10700_190817.1131.fits,58712.48823,5,174,-3.013,0.381,-16611.728,0.35,,0.183,1.867,6597.1,29.704,-91.679,-59.181,2.567,-1.028,2020-12-22T04:49:08.473,-0.000001,0.000321
10700_190817.1132.fits,58712.48954,5,178,-0.872,0.401,-16610.958,0.341,,0.183,1.88,6597.85,29.776,-93.215,-61.279,2.61,0.002,2020-12-22T04:49:13.477,-0.000001,0.000321
10700_190819.1123.fits,58714.49142,5,241,-0.772,0.337,-16609.481,0.24,0.165,0.184,1.858,6581.155,28.671,-91.804,-60.851,2.675,-1.021,2020-12-22T04:49:18.810,-0.000001,0.000317
10700_190819.1124.fits,58714.4927,5,241,0.36,0.338,-16609.275,0.241,0.165,0.186,1.859,6581.772,28.659,-89.81,-59.317,2.609,-0.003,2020-12-22T04:49:23.857,-0.000001,0.000317
10700_190819.1125.fits,58714.49398,5,244,0.634,0.338,-16608.082,0.236,0.165,0.184,1.851,6583.254,28.718,-89.701,-59.085,2.622,-1.018,2020-12-22T04:49:29.190,-0.000001,0.000317
10700_190820.1116.fits,58715.49016,5,202,-1.378,0.411,-16608.726,0.287,0.173,0.187,1.893,6576.274,28.967,-90.328,-61.595,2.739,-0.002,2020-12-22T04:49:34.733,-0.000001,0.000315
10700_190820.1117.fits,58715.49146,5,206,0.427,0.405,-16608.922,0.281,0.173,0.186,1.895,6572.44,28.837,-90.293,-61.686,2.738,-1.023,2020-12-22T04:49:39.625,-0.000001,0.000315
10700_190820.1118.fits,58715.49275,5,209,-0.199,0.438,-16608.265,0.278,0.173,0.186,1.89,6572.428,28.941,-91.224,-61.804,2.755,-1.024,2020-12-22T04:49:45.087,-0.000001,0.000315
10700_190820.1119.fits,58715.49404,5,198,-1.641,0.426,-16609.17,0.294,0.173,0.185,1.903,6575.664,28.886,-90.627,-61.305,2.712,0.001,2020-12-22T04:49:50.168,-0.000001,0.000315
10700_190820.1120.fits,58715.49533,5,204,-0.634,0.397,-16609.062,0.285,0.173,0.189,1.887,6572.222,28.813,-90.736,-60.495,2.691,-1.02,2020-12-22T04:49:55.403,-0.000001,0.000315
10700_190821.1110.fits,58716.44779,5,212,1.051,0.375,-16606.887,0.28,0.158,0.185,1.863,6569.568,28.839,-88.166,-72.869,2.576,-0.005,2020-12-22T04:50:00.617,-0.000001,0.000313
10700_190821.1111.fits,58716.44983,5,230,-1.712,0.356,-16608.895,0.254,0.158,0.18,1.878,6569.682,28.734,-90.206,-60.316,2.614,-1.02,2020-12-22T04:50:06.671,-0.000001,0.000313
10700_190821.1112.fits,58716.45111,5,234,-1.175,0.34,-16608.755,0.253,0.158,0.184,1.866,6571.837,28.819,-91.052,-60.497,2.671,-0.003,2020-12-22T04:50:12.090,-0.000001,0.000313
10700_190821.1113.fits,58716.45238,5,220,-1.639,0.355,-16610.023,0.27,0.158,0.183,1.862,6570.383,28.788,-90.73,-60.796,2.656,0,2020-12-22T04:50:18.013,-0.000001,0.000313
10700_190824.1337.fits,58719.45243,5,192,-2.167,0.421,-16611.11,0.303,0.181,0.181,1.895,6595.811,29.378,-92.273,-60.526,2.785,-0.005,2020-12-22T04:50:23.217,-0.000001,0.000308
10700_190824.1338.fits,58719.45374,5,188,-2.523,0.44,-16610.62,0.314,0.181,0.185,1.893,6596.902,29.366,-92.655,-61.556,2.87,-0.003,2020-12-22T04:50:28.342,-0.000001,0.000308
10700_190824.1339.fits,58719.45505,5,202,-2.367,0.396,-16610.931,0.287,0.181,0.185,1.892,6596.632,29.403,-93.43,-62.785,2.85,-1.03,2020-12-22T04:50:33.573,-0.000001,0.000308
10700_190824.1340.fits,58719.45728,5,179,-3.362,0.433,-16610.574,0.328,0.181,0.182,1.895,6592.291,29.276,-93.662,-62.111,2.891,-1.031,2020-12-22T04:50:38.824,-0.000001,0.000308
10700_190824.1341.fits,58719.45856,5,161,-1.701,0.47,-16610.397,0.367,0.181,0.185,1.892,6593.611,29.293,-93.249,-61.87,2.818,-1.027,2020-12-22T04:50:44.258,-0.000001,0.000308
10700_190824.1342.fits,58719.45994,5,162,-1.846,0.445,-16611.453,0.364,0.181,0.183,1.897,6589.269,29.253,-95.294,-62.52,2.94,-1.033,2020-12-22T04:50:49.312,-0.000001,0.000308
10700_190825.1208.fits,58720.46221,5,219,2.126,0.377,-16609.628,0.28,0.09,0.185,1.896,6573.717,28.925,-94.416,-62.502,2.654,-1.034,2020-12-22T04:50:54.767,-0.000001,0.000306
10700_190825.1209.fits,58720.46348,5,220,-1.823,0.393,-16610.624,0.28,0.09,0.185,1.894,6573.891,28.934,-94.988,-62.716,2.704,0.001,2020-12-22T04:50:59.751,-0.000001,0.000306
10700_190825.1210.fits,58720.46478,5,221,-3.121,0.425,-16613.789,0.28,0.09,0.184,1.889,6571.795,28.882,-95.286,-63.68,2.699,0.003,2020-12-22T04:51:05.256,-0.000001,0.000306
10700_190825.1211.fits,58720.46607,5,214,-0.77,0.401,-16611.767,0.287,0.09,0.185,1.908,6572.227,28.908,-94.476,-61.8,2.685,-1.034,2020-12-22T04:51:10.310,-0.000001,0.000306
10700_190825.1212.fits,58720.46736,5,210,1.215,0.41,-16609.543,0.291,0.09,0.187,1.908,6573.295,28.924,-94.526,-62.665,2.673,-1.034,2020-12-22T04:51:15.572,-0.000001,0.000306
10700_190825.1213.fits,58720.46878,5,218,-3.464,0.367,-16614.061,0.283,0.09,0.185,1.904,6572.665,28.912,-96.741,-64.422,2.714,-1.038,2020-12-22T04:51:20.694,-0.000001,0.000306
