File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Err. [m/s],CCF RV [m/s],CCF RV Err. [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated,Phot. GP [mag],Phot. GP Err. [mag]
10700_190825.1214.fits,58720.47008,5,218,-3.631,0.401,-16612.102,0.283,0.09,0.184,1.904,6571.96,28.903,-94.428,-62.269,2.673,-1.036,2020-12-22T04:51:25.915,-0.000001,0.000306
10700_190825.1215.fits,58720.47138,5,209,1.426,0.396,-16608.808,0.296,0.09,0.185,1.9,6573.248,28.937,-94.101,-62.672,2.697,-1.036,2020-12-22T04:51:31.728,-0.000001,0.000306
10700_190825.1216.fits,58720.47269,5,224,-5.329,0.395,-16614.752,0.276,0.09,0.184,1.892,6570.816,28.911,-95.857,-64.13,2.671,-1.036,2020-12-22T04:51:37.796,-0.000001,0.000306
10700_190825.1217.fits,58720.47399,5,216,-2.927,0.407,-16613.805,0.286,0.09,0.183,1.907,6572.057,28.906,-95.565,-63.878,2.692,-1.037,2020-12-22T04:51:43.012,-0.000001,0.000306
10700_190825.1221.fits,58720.47729,5,230,1.794,0.378,-16607.564,0.274,0.09,0.183,1.903,6569.183,28.903,-95.908,-76.471,2.693,-1.039,2020-12-22T04:51:48.191,-0.000001,0.000306
10700_190825.1222.fits,58720.47861,5,232,-2.924,0.368,-16613.836,0.271,0.09,0.183,1.906,6568.332,28.837,-95.546,-63.245,2.641,-1.036,2020-12-22T04:51:53.560,-0.000001,0.000306
10700_190825.1223.fits,58720.47987,5,227,-3.111,0.389,-16614.641,0.275,0.09,0.183,1.895,6569.029,28.934,-96.135,-64.208,2.686,-1.039,2020-12-22T04:51:59.041,-0.000001,0.000306
10700_190825.1224.fits,58720.48118,5,226,1.647,0.409,-16608.251,0.275,0.09,0.186,1.894,6570.129,28.95,-96.801,-62.644,2.717,-1.04,2020-12-22T04:52:05.548,-0.000001,0.000306
10700_190825.1225.fits,58720.48247,5,227,-3.03,0.396,-16613.236,0.277,0.09,0.183,1.902,6566.673,28.874,-95.305,-62.622,2.642,-1.037,2020-12-22T04:52:11.339,-0.000001,0.000306
10700_190825.1226.fits,58720.48377,5,236,-3.329,0.364,-16615.203,0.268,0.09,0.185,1.905,6567.819,28.817,-93.789,-62.848,2.564,-1.034,2020-12-22T04:52:17.322,-0.000001,0.000306
10700_190825.1227.fits,58720.48505,5,220,2.578,0.407,-16607.467,0.283,0.09,0.183,1.904,6566.802,28.86,-95.326,-74.802,2.616,-0.003,2020-12-22T04:52:22.690,-0.000001,0.000306
10700_190825.1228.fits,58720.48637,5,227,-1.88,0.398,-16612.023,0.279,0.09,0.185,1.91,6568.231,28.938,-95.567,-62.931,2.638,-1.037,2020-12-22T04:52:28.246,-0.000001,0.000306
10700_190825.1229.fits,58720.48764,5,230,-4.113,0.414,-16616.056,0.275,0.09,0.184,1.9,6566.709,28.873,-95.836,-63.757,2.64,-1.038,2020-12-22T04:52:34.299,-0.000001,0.000306
10700_190825.1230.fits,58720.48893,5,229,3.575,0.367,-16606.797,0.275,0.09,0.186,1.903,6564.101,28.807,-93.821,-73.535,2.566,0.001,2020-12-22T04:52:40.363,-0.000001,0.000306
10700_191007.1130.fits,58763.35867,5,269,0.46,0.312,-16609.825,0.231,,0.183,1.853,6568.759,29.268,-96.167,-63.344,2.928,-0.005,2020-12-22T04:52:46.418,-0.000027,0.000228
10700_191007.1131.fits,58763.35997,5,263,-1.191,0.302,-16610.446,0.235,,0.181,1.854,6570.317,29.335,-97.232,-62.872,2.932,-1.04,2020-12-22T04:52:52.707,-0.000027,0.000228
10700_191007.1132.fits,58763.36127,5,261,1.045,0.323,-16608.301,0.239,,0.182,1.853,6564.87,29.304,-94.294,-75.918,2.878,-1.037,2020-12-22T04:52:58.917,-0.000027,0.000228
10700_191007.1133.fits,58763.36255,5,261,-0.649,0.318,-16610.889,0.238,,0.182,1.846,6563.941,29.16,-96.003,-62.817,2.906,-1.038,2020-12-22T04:53:05.426,-0.000027,0.000228
10700_191007.1134.fits,58763.36385,5,260,0.596,0.294,-16608.712,0.238,,0.182,1.848,6564.899,29.243,-96.577,-76.866,2.923,-1.039,2020-12-22T04:53:10.940,-0.000027,0.000228
10700_191008.1094.fits,58764.35912,5,186,-1.288,0.401,-16609.172,0.333,0.117,0.181,1.879,6580.641,29.753,-93.202,-61.35,2.942,-1.037,2020-12-22T04:53:16.677,-0.000029,0.000227
10700_191008.1095.fits,58764.3602,5,235,0,0.33,-16608.243,0.264,0.117,0.18,1.87,6582.695,29.723,-96.315,-63.122,2.997,-1.042,2020-12-22T04:53:22.516,-0.000029,0.000227
10700_191008.1096.fits,58764.36127,5,231,0.119,0.322,-16608.094,0.268,0.117,0.176,1.873,6579.956,29.589,-94.418,-62.456,2.915,-1.037,2020-12-22T04:53:28.127,-0.000029,0.000227
10700_191008.1097.fits,58764.36232,5,228,0.036,0.32,-16609.008,0.271,0.117,0.18,1.867,6579.197,29.698,-95.524,-62.95,2.945,-1.039,2020-12-22T04:53:34.092,-0.000029,0.000227
10700_191008.1099.fits,58764.36521,5,219,-1.173,0.33,-16609.637,0.283,0.117,0.179,1.867,6578.303,29.534,-94.9,-62.556,2.947,-1.038,2020-12-22T04:53:39.679,-0.000029,0.000227
10700_191008.1100.fits,58764.36624,5,222,-0.328,0.343,-16608.923,0.279,0.117,0.18,1.872,6584.074,29.712,-94.088,-62.249,2.925,-0.005,2020-12-22T04:53:44.929,-0.000029,0.000227
10700_191008.1101.fits,58764.36737,5,225,0,0.33,-16610.825,0.276,0.117,0.18,1.872,6583.724,29.744,-95.788,-64.225,2.982,-1.042,2020-12-22T04:53:50.236,-0.000029,0.000227
10700_191008.1102.fits,58764.36842,5,234,1.368,0.353,-16608.229,0.266,0.117,0.18,1.87,6582.111,29.732,-97.233,-64.145,3.025,-1.046,2020-12-22T04:53:55.765,-0.000029,0.000227
10700_191008.1103.fits,58764.36945,5,230,0.279,0.332,-16609.393,0.269,0.117,0.177,1.876,6580.448,29.611,-95.698,-63.332,2.963,-1.04,2020-12-22T04:54:01.190,-0.000029,0.000227
10700_191008.1104.fits,58764.37052,5,221,0.322,0.347,-16608.646,0.28,0.117,0.179,1.877,6576.765,29.633,-95.268,-62.699,2.958,-1.039,2020-12-22T04:54:07.368,-0.000029,0.000227
10700_191008.1105.fits,58764.37156,5,220,1.028,0.333,-16608.355,0.278,0.117,0.179,1.87,6574.841,29.501,-94.38,-62.033,2.917,-1.036,2020-12-22T04:54:13.172,-0.000029,0.000227
10700_191008.1106.fits,58764.37262,5,227,-0.545,0.339,-16610.7,0.273,0.117,0.178,1.873,6578.377,29.564,-96.818,-64.677,3.009,-1.043,2020-12-22T04:54:19.064,-0.000029,0.000227
10700_191008.1107.fits,58764.37367,5,210,0.861,0.372,-16607.515,0.294,0.117,0.18,1.873,6578.755,29.567,-97.733,-63.962,3.032,-1.042,2020-12-22T04:54:24.891,-0.000029,0.000227
10700_191008.1108.fits,58764.37472,5,213,-1.222,0.319,-16611.122,0.291,0.117,0.178,1.87,6577.517,29.581,-95.066,-63.134,2.975,-1.04,2020-12-22T04:54:30.692,-0.000029,0.000227
10700_191008.1112.fits,58764.37772,5,220,-0.001,0.326,-16609.247,0.284,0.117,0.178,1.875,6575.951,29.504,-95.59,-62.867,2.969,-0.006,2020-12-22T04:54:37.258,-0.000029,0.000227
10700_191008.1113.fits,58764.37878,5,218,0.774,0.353,-16609.679,0.286,0.117,0.179,1.881,6575.501,29.508,-95.807,-63.097,2.963,-1.04,2020-12-22T04:54:42.813,-0.000029,0.000227
10700_191008.1114.fits,58764.37983,5,218,-1.397,0.351,-16609.896,0.288,0.117,0.181,1.873,6577.053,29.572,-94.492,-62.309,2.943,-1.039,2020-12-22T04:54:48.483,-0.000029,0.000227
10700_191008.1115.fits,58764.3809,5,199,0.333,0.37,-16608.522,0.312,0.117,0.181,1.88,6574.165,29.513,-96.54,-64.054,3.027,-1.041,2020-12-22T04:54:54.087,-0.000029,0.000227
10700_191008.1116.fits,58764.38199,5,206,-2.429,0.352,-16610.89,0.303,0.117,0.178,1.873,6577.155,29.579,-96.348,-64.445,2.991,-1.042,2020-12-22T04:54:59.496,-0.000029,0.000227
10700_191008.1117.fits,58764.38304,5,203,1.322,0.358,-16607.333,0.308,0.117,0.181,1.867,6574.549,29.493,-92.882,-61.743,2.895,0,2020-12-22T04:55:05.312,-0.000029,0.000227
10700_191008.1118.fits,58764.38413,5,205,-0.897,0.354,-16612.07,0.303,0.117,0.177,1.875,6571.574,29.478,-96.653,-64.024,3.001,-1.041,2020-12-22T04:55:10.781,-0.000029,0.000227
10700_191008.1119.fits,58764.38519,5,192,1.03,0.363,-16607.177,0.324,0.117,0.181,1.882,6572.781,29.424,-94.952,-61.609,2.913,0.002,2020-12-22T04:55:16.542,-0.000029,0.000227
10700_191008.1120.fits,58764.38627,5,188,-0.04,0.367,-16611.138,0.33,0.117,0.179,1.881,6573.702,29.443,-94.8,-63.199,2.977,-1.039,2020-12-22T04:55:23.015,-0.000029,0.000227
10700_191008.1121.fits,58764.38734,5,199,0.631,0.358,-16608.707,0.314,0.117,0.178,1.881,6569.975,29.32,-95.56,-62.596,2.994,-1.04,2020-12-22T04:55:29.454,-0.000029,0.000227
10700_191016.1107.fits,58772.40906,5,155,-1.001,0.466,-16607.342,0.397,,0.184,1.837,6577.799,29.3,-85.724,-57.527,2.803,-0.004,2020-12-22T04:55:36.207,-0.000037,0.000216
10700_191016.1108.fits,58772.41033,5,154,0.967,0.469,-16606.789,0.4,,0.185,1.844,6578.366,29.211,-87.196,-58.001,2.837,-1.021,2020-12-22T04:55:42.035,-0.000037,0.000216
10700_191016.1109.fits,58772.41161,5,160,-0.123,0.457,-16607.25,0.383,,0.183,1.846,6581.156,29.331,-87.7,-56.883,2.789,-1.019,2020-12-22T04:55:47.514,-0.000037,0.000216
10700_191016.1110.fits,58772.41288,5,157,1.812,0.445,-16606.643,0.395,,0.185,1.857,6581.166,29.319,-89.051,-58.81,2.854,-1.024,2020-12-22T04:55:52.951,-0.000037,0.000216
10700_191016.1111.fits,58772.41421,5,150,1.823,0.448,-16606.45,0.412,,0.184,1.852,6581.708,29.325,-89.397,-60.055,2.892,-1.024,2020-12-22T04:55:58.405,-0.000037,0.000216
10700_191024.1253.fits,58780.25572,5,220,1.692,0.35,-16604.177,0.266,0.153,0.184,1.836,6560.985,28.331,-89.208,-72.058,2.888,-1.017,2020-12-22T04:56:04.378,-0.000040,0.000209
10700_191024.1254.fits,58780.25734,5,225,1.899,0.345,-16605.021,0.262,0.153,0.184,1.844,6561.179,28.249,-89.347,-72.953,2.887,-1.017,2020-12-22T04:56:09.903,-0.000040,0.000209
10700_191024.1255.fits,58780.25881,5,215,1.939,0.343,-16604.861,0.272,0.153,0.184,1.84,6561.758,28.269,-89.433,-72.213,2.901,-1.017,2020-12-22T04:56:15.499,-0.000040,0.000209
10700_191024.1256.fits,58780.26038,5,208,-0.535,0.358,-16605.59,0.282,0.153,0.183,1.838,6560.463,28.284,-89.867,-72.475,2.92,-1.018,2020-12-22T04:56:21.222,-0.000040,0.000209
10700_191024.1257.fits,58780.26177,5,204,-0.1,0.345,-16605.464,0.286,0.153,0.182,1.838,6563.47,28.423,-90.247,-74.202,2.965,-0.002,2020-12-22T04:56:26.575,-0.000040,0.000209
10700_191108.1082.fits,58795.34592,5,212,1.23,0.358,-16609.176,0.295,,0.182,1.86,6563.68,28.587,-95.525,-77.522,3.305,0.002,2020-12-22T04:56:32.050,-0.000055,0.000203
10700_191108.1083.fits,58795.34749,5,214,0.857,0.339,-16610.333,0.295,,0.184,1.852,6564.565,28.635,-95.907,-63.859,3.323,-0.005,2020-12-22T04:56:38.024,-0.000055,0.000203
10700_191108.1084.fits,58795.34922,5,214,3.446,0.375,-16608.053,0.294,,0.184,1.857,6565.406,28.672,-95.77,-77.724,3.31,-1.043,2020-12-22T04:56:43.326,-0.000055,0.000203
10700_191108.1085.fits,58795.35109,5,214,2.068,0.334,-16608.138,0.292,,0.183,1.859,6564.019,28.429,-93.425,-76.063,3.231,-0.005,2020-12-22T04:56:48.648,-0.000055,0.000203
10700_191108.1086.fits,58795.35307,5,214,0.304,0.362,-16608.967,0.293,,0.185,1.846,6561.82,28.603,-96.071,-77.151,3.319,-0.003,2020-12-22T04:56:54.171,-0.000055,0.000203
10700_191109.1139.fits,58796.24113,5,211,3.203,0.343,-16608.308,0.303,,0.185,1.809,6584.49,29.31,-95.244,-62.561,3.268,-1.044,2020-12-22T04:56:59.561,-0.000056,0.000203
10700_191109.1140.fits,58796.24203,5,208,0.856,0.332,-16608.882,0.306,,0.185,1.811,6581.654,29.36,-94.856,-61.405,3.227,-1.043,2020-12-22T04:57:05.709,-0.000056,0.000203
10700_191109.1141.fits,58796.2429,5,210,1.221,0.35,-16608.858,0.305,,0.185,1.818,6585.84,29.4,-94.057,-62.798,3.246,-1.043,2020-12-22T04:57:11.238,-0.000056,0.000203
10700_191109.1142.fits,58796.24375,5,208,0.001,0.353,-16608.221,0.305,,0.184,1.819,6583.928,29.445,-98.001,-63.287,3.362,-1.05,2020-12-22T04:57:16.632,-0.000056,0.000203
10700_191109.1143.fits,58796.24469,5,209,2.866,0.358,-16608.7,0.299,,0.184,1.815,6583.451,29.183,-97.962,-64.396,3.369,-1.048,2020-12-22T04:57:22.096,-0.000056,0.000203
10700_191110.1085.fits,58797.32983,5,219,0.431,0.351,-16612.143,0.312,,0.185,1.866,6576.938,29.697,-98.629,-66.041,3.478,-1.059,2020-12-22T04:57:27.504,-0.000058,0.000203
10700_191110.1086.fits,58797.33069,5,221,2.903,0.354,-16608.594,0.307,,0.184,1.862,6572.503,29.533,-96.751,-63.025,3.351,-1.051,2020-12-22T04:57:33.125,-0.000058,0.000203
10700_191110.1087.fits,58797.33215,5,220,1.33,0.374,-16611.434,0.307,,0.185,1.867,6570.148,29.483,-99.116,-65.324,3.435,-1.056,2020-12-22T04:57:39.180,-0.000058,0.000203
10700_191110.1088.fits,58797.33302,5,218,4.623,0.389,-16608.387,0.312,,0.184,1.864,6569.997,29.569,-100.669,-65.852,3.544,-0.004,2020-12-22T04:57:44.569,-0.000058,0.000203
10700_191110.1089.fits,58797.33387,5,220,0.514,0.361,-16611.932,0.312,,0.185,1.864,6572.082,29.712,-100.164,-67.299,3.561,-1.065,2020-12-22T04:57:49.848,-0.000058,0.000203
10700_191111.1126.fits,58798.20111,5,213,2.214,0.345,-16608.681,0.299,,0.183,1.855,6585.049,29.321,-97.15,-66.053,3.388,0.001,2020-12-22T04:57:55.385,-0.000059,0.000203
10700_191111.1127.fits,58798.2066,5,214,0.502,0.335,-16609.544,0.295,,0.182,1.858,6575.823,28.97,-95.753,-64.093,3.311,-1.045,2020-12-22T04:58:00.847,-0.000059,0.000203
10700_191111.1128.fits,58798.2087,5,209,2.349,0.374,-16607.628,0.299,,0.185,1.858,6585.119,29.335,-96.41,-64.807,3.33,-1.048,2020-12-22T04:58:06.815,-0.000059,0.000203
10700_191111.1129.fits,58798.20968,5,210,2.399,0.347,-16610.371,0.299,,0.183,1.863,6586.913,29.341,-97.278,-64.813,3.363,-0.003,2020-12-22T04:58:12.227,-0.000059,0.000203
10700_191111.1130.fits,58798.21061,5,209,-0.524,0.367,-16610.035,0.302,,0.185,1.855,6586.764,29.462,-97.737,-66.294,3.372,-1.051,2020-12-22T04:58:17.665,-0.000059,0.000203
10700_200102.1084.fits,58850.14085,5,204,-0.618,0.362,-16610.571,0.291,0.16,0.185,1.862,6555.046,28.434,-94.312,-77.282,3.526,-1.035,2020-12-22T04:58:23.245,-0.000094,0.000251
10700_200102.1085.fits,58850.14357,5,205,-0.674,0.391,-16611.537,0.291,0.16,0.186,1.858,6557.701,28.513,-96.716,-79.067,3.621,0.001,2020-12-22T04:58:28.657,-0.000094,0.000251
10700_200102.1086.fits,58850.14617,5,204,0.263,0.375,-16610.75,0.29,0.16,0.185,1.854,6555.5,28.465,-93.659,-76.223,3.491,-1.033,2020-12-22T04:58:34.777,-0.000094,0.000251
10700_200102.1087.fits,58850.14965,5,204,0.843,0.373,-16611.099,0.288,0.16,0.184,1.85,6550.024,28.385,-93.588,-76.499,3.481,0,2020-12-22T04:58:40.123,-0.000094,0.000251
10700_200102.1088.fits,58850.15348,5,204,0.169,0.399,-16610.687,0.289,0.16,0.186,1.852,6556.333,28.443,-95.402,-77.855,3.577,-0.005,2020-12-22T04:58:45.580,-0.000094,0.000251
10700_200729.1133.fits,59059.47778,5,214,-0.272,0.39,-16610.952,0.298,,0.184,1.891,6587.164,30.094,-93.76,-61.86,2.544,-1.038,2020-12-22T04:58:50.976,-0.000010,0.000428
10700_200729.1134.fits,59059.47896,5,215,4.069,0.385,-16607.624,0.292,,0.183,1.895,6581.315,29.865,-93.692,-60.637,2.489,-1.036,2020-12-22T04:58:56.396,-0.000010,0.000428
10700_200729.1135.fits,59059.48014,5,217,3.766,0.399,-16608.13,0.291,,0.183,1.883,6583.253,29.886,-95.685,-62.57,2.562,-1.038,2020-12-22T04:59:01.846,-0.000010,0.000428
10700_200729.1136.fits,59059.4813,5,217,1.976,0.383,-16609.737,0.294,,0.183,1.885,6580.985,29.903,-96.251,-63.384,2.569,-0.005,2020-12-22T04:59:08.133,-0.000010,0.000428
10700_200730.1095.fits,59060.47867,5,210,0.743,0.368,-16609.677,0.3,,0.185,1.879,6585.313,29.917,-95.199,-62.951,2.597,-1.04,2020-12-22T04:59:13.794,-0.000010,0.000428
10700_200730.1096.fits,59060.47983,5,208,1.074,0.381,-16609.349,0.303,,0.185,1.875,6588.96,30.058,-95.899,-62.757,2.584,-0.005,2020-12-22T04:59:19.101,-0.000010,0.000428
10700_200730.1097.fits,59060.48092,5,210,1.272,0.362,-16607.387,0.301,,0.184,1.887,6590.334,30.143,-97.17,-63.717,2.603,-1.042,2020-12-22T04:59:24.630,-0.000010,0.000428
10700_200730.1098.fits,59060.48192,5,208,1.322,0.38,-16608.79,0.304,,0.184,1.874,6591.903,30.28,-96.665,-63.274,2.638,-0.003,2020-12-22T04:59:29.871,-0.000010,0.000428
10700_200731.1105.fits,59061.47967,5,193,2.58,0.353,-16609.424,0.331,,0.184,1.876,6575.666,29.886,-94.832,-62.222,2.518,-1.041,2020-12-22T04:59:35.534,-0.000010,0.000428
10700_200731.1106.fits,59061.48107,5,192,0.979,0.396,-16609.736,0.324,,0.184,1.875,6574.282,29.538,-95.524,-62.176,2.6,-1.037,2020-12-22T04:59:41.192,-0.000010,0.000428
10700_200731.1107.fits,59061.48239,5,190,1.722,0.384,-16609.771,0.327,,0.184,1.878,6578.173,29.76,-95.489,-61.521,2.617,-1.041,2020-12-22T04:59:46.588,-0.000010,0.000428
10700_200802.1102.fits,59063.48307,5,188,0.952,0.412,-16612.757,0.34,,0.181,1.908,6578.401,29.804,-98.504,-64.987,2.617,0,2020-12-22T04:59:52.156,-0.000009,0.000428
10700_200802.1103.fits,59063.48428,5,191,0.045,0.387,-16611.892,0.339,,0.183,1.913,6578.796,29.763,-97.751,-64.065,2.562,0,2020-12-22T04:59:57.893,-0.000009,0.000428
10700_200802.1104.fits,59063.48549,5,188,-0.52,0.383,-16613.537,0.336,,0.183,1.912,6578.737,29.71,-98.395,-64.513,2.678,-1.045,2020-12-22T05:00:03.884,-0.000009,0.000428
10700_200804.1120.fits,59065.48324,5,221,1.36,0.35,-16612.152,0.286,,0.184,1.861,6552.214,28.824,-95.292,-74.935,2.48,0,2020-12-22T05:00:09.714,-0.000009,0.000428
10700_200804.1121.fits,59065.48541,5,217,-0.663,0.374,-16611.206,0.287,,0.179,1.855,6558.001,28.93,-97.163,-76.975,2.599,-1.037,2020-12-22T05:00:15.877,-0.000009,0.000428
10700_200804.1122.fits,59065.48746,5,190,-0.896,0.369,-16611.872,0.333,,0.185,1.865,6556.455,28.951,-94.541,-74.785,2.511,-1.033,2020-12-22T05:00:21.509,-0.000009,0.000428
10700_200926.1089.fits,59118.38375,5,216,-0.724,0.369,-16609.397,0.294,,0.183,1.888,6576.267,29.485,-93.201,-61.663,2.869,-1.04,2020-12-22T05:00:27.022,-0.000002,0.000429
10700_200926.1090.fits,59118.38485,5,214,-0.036,0.349,-16608.447,0.293,,0.183,1.871,6577.476,29.452,-92.802,-61.434,2.882,-1.038,2020-12-22T05:00:32.424,-0.000002,0.000429
