Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58524.46484375,-0.31474392188356437,,1.5767411447837774,
58524.4921875,0.9484345660197453,,1.3568823590289052,
58524.49609375,-2.09885306687024,,2.991301492163031,
58524.50390625,-0.9745589860659416,,1.7301551469544358,
58559.2578125,1.4957186803969007,,5.1879170312728435,
58559.26171875,-1.5907320624593106,,7.284453833699367,
58559.26953125,0.9036988060191362,,5.784705277232639,
58600.3125,-1.5701444507172784,,-0.8290140270661024,
58606.3125,1.1690053326514456,,-0.05625814026881071,
58608.3125,-0.561203772950793,,1.9166610788588185,
58609.33984375,-1.2111931114898833,,3.558471706460409,
58616.25,1.407383421241708,,-1.163433531105167,
58621.265625,1.171391164263155,,0.6218026528753393,
58634.171875,4.274301113558877,,1.5066818576323513,
58641.16015625,1.2157014011461778,,4.184765517798957,
58641.1640625,-0.20856251360052092,,4.299157758961671,
58642.1875,0.3794347477233937,,2.860483007403382,
58646.1796875,-0.6257391015568832,,5.518851284173893,
58794.5390625,2.399300334712618,,-5.912827251216702,
58794.54296875,2.0930883621922467,,-5.0949690079443775,
58796.53515625,-2.2604474541141553,,-2.1829119208860224,
58796.5390625,-0.9670590539493835,,-4.201092801519544,
58829.48828125,-0.7357835557659911,,-5.208182356099421,
58829.4921875,-0.03658078898494743,,-5.478708517655855,
58829.49609375,-1.094075801297489,,-5.689600346163626,
58829.5,1.3913991473668714,,-6.785094978665877,
58907.41796875,2.6779542867719117,,0.8714307840286921,
58907.421875,2.4427497634748754,,1.3550674667495564,
59024.16015625,-1.908892829026585,,-1.8649871758564052,
59024.16796875,-5.454046208880325,,0.3111667227961631,
59024.17578125,-5.412376466924591,,0.25185400598691277,
59028.15625,0.4187059744130417,,1.3616132394539682,
59028.16015625,1.117648958285565,,1.0684586772123041,
59028.1640625,0.8157440215010832,,1.0251335114577236,
59030.19140625,-1.56968857836505,,-0.704538563969112,
59030.203125,-0.3381319283860629,,-1.3896398306473179,
59030.21484375,-0.10090798035031168,,-1.6106513153041628,
59031.16015625,-1.4763686508753002,,0.049957975826294465,
59031.1640625,-0.44953927552963147,,-0.06754293882601492,
59031.16796875,-0.8159763067883274,,0.23404423891705606,
59033.16015625,1.6384848631829918,,0.8938065491703461,
59033.16015625,4.104837869580718,,-0.9402603854500371,
59033.1640625,2.405926814579516,,-0.14257155945274028,
59179.54296875,-3.4698160149183375,,-2.03402919992559,
59179.54296875,-3.7281837503557718,,-1.9425544698592494,
