Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58715.48828125,0.9054792366344229,,-1.0879489225091872,
58719.46875,1.0395306999213574,,-2.9691317334523717,
58719.47265625,-1.7094283203729095,,0.18799989426377017,
58720.49609375,-1.2595851646276035,,-0.7615686032784108,
58764.3984375,1.1960169038105983,,-1.4013747732791126,
58764.40234375,1.2941791463007482,,-1.0303292520973875,
58764.40234375,2.2042175080811015,,0.3751536263566344,
58772.44921875,-2.519858360449958,,0.731401125747069,
58772.44921875,-1.4071536241345814,,1.4268628933379421,
58772.453125,-3.3160663109971718,,1.8785612247317824,
58780.3515625,-2.830671719026232,,0.580636115182718,
58780.3515625,-1.679211237177911,,0.2722237290375218,
58780.35546875,-1.549221305642254,,0.0811986412518646,
58781.43359375,-1.7229586193427036,,-0.6758501778601858,
58781.4375,-0.9808308570540643,,-1.2463165631957,
58781.44140625,-0.6763953818404795,,-1.2913526243467848,
58788.44140625,-1.5363127230697131,,0.4001687207886988,
58788.44140625,-1.4835938648411586,,-0.03401986400235568,
58788.4453125,-1.1369764351355887,,-0.5751868542548007,
58794.3984375,2.913250549187264,,0.9097118938442219,
58794.40234375,1.901950801097474,,2.6801363977933867,
58794.40234375,2.9375791819262487,,1.575843466183362,
58794.40625,3.809765833007304,,-0.2767203821633184,
58795.39453125,3.394528216988015,,-0.2048055200502792,
58795.39453125,4.244138285522872,,-1.1879299928820113,
58795.3984375,3.065394109579075,,2.3215942123586606,
58795.40234375,3.152421943099014,,0.6171347382137218,
58796.33984375,1.5774741427783519,,1.8373156928312588,
58796.33984375,2.897610383299763,,-0.32205394612765215,
58796.34375,3.4909159421167075,,-0.8695831377570968,
58796.34375,1.1290567110303107,,0.641598603094925,
58797.38671875,2.679896957253392,,-0.9969796802375313,
58797.38671875,3.2099055076301264,,-0.8556015118642657,
58797.38671875,2.383143573864844,,1.3368220429947668,
58797.390625,2.0889830873171333,,-0.6158741599106478,
58798.21484375,3.2955719977205717,,-1.894942318360961,
58798.21875,3.2682598705567565,,-1.5243074372908958,
58798.22265625,0.8095395038952782,,-0.2748461038325425,
58798.2265625,1.0643497328620786,,0.3515387355600321,
58833.328125,1.1775774154185905,,0.7685539729253952,
58833.3359375,2.1186181560534583,,-0.21063374036572258,
58833.33984375,2.1408148492897627,,-0.6867794082114022,
58833.34375,2.027711497900757,,-0.9742192697130214,
58850.19921875,-0.4280143273494259,,-2.1386411495409634,
58850.203125,-1.0532924768970764,,-0.05996334179018792,
58850.203125,-1.8634587605997988,,1.4330337524594094,
58850.20703125,-0.058943635171782915,,0.1740203360157686,
58852.12890625,-0.34956832141055827,,-1.789841061729831,
58852.1328125,-1.2412258707546542,,-0.5167137858232351,
58852.1328125,-0.056437740143475246,,-0.23284346916878906,
58852.13671875,-1.1243403338689277,,0.21326347025978842,
58872.171875,2.200945654779803,,-2.5131150476858175,
58872.171875,-0.1503646914353194,,-1.58468678154882,
58872.17578125,0.2797041991900624,,-0.1646274983460767,
58872.17578125,0.09001421990954483,,-3.381462177268684,
58884.15625,4.09204059055103,,-2.9546250225195445,
58884.16015625,4.239787996833469,,-3.335068962005108,
58884.1640625,3.8165617917734065,,-2.499855452257546,
58884.171875,3.9682592943029986,,-1.316408911818388,
59088.49609375,2.845668275053537,,-0.35022048045955145,
59088.5,-0.8489037256994107,,0.44518159841839644,
59090.4921875,1.2705471190062951,,1.1295332439470656,
59097.5,4.6798110843327025,,1.3747492590894081,
59097.5,4.994325778705448,,0.1447072209666631,
59099.4765625,2.149294990145349,,-0.9851765412544884,
59099.48046875,-0.3211768018387584,,1.695103600338994,
59099.48046875,2.9653638247432195,,-1.0840822899148588,
59109.46875,3.5746998674677557,,0.04989831775122999,
59109.47265625,3.731199873413635,,0.4961204797741008,
59109.47265625,2.615927124956184,,2.5841410309659265,
59118.44140625,-2.88100523171979,,1.4930912099075258,
59118.44140625,-2.2703077621999896,,-0.25438604476852456,
59118.4453125,-3.783261552534074,,0.05693810689368484,
59119.4375,-1.6795336509454228,,-0.1585146482105914,
