Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58715.48828125,1.1598258683560507,,-1.8821086795737179,
58719.46875,1.4662963325176968,,-2.390758098813489,
58719.47265625,-1.4292675505583805,,-1.2385108661280366,
58720.49609375,-1.2401113743323435,,-0.1421140638384486,
58764.3984375,1.169342782282323,,0.057684709234384846,
58764.40234375,1.726076763470827,,-0.04128560007911908,
58764.40234375,2.312655617776844,,0.34106865108361406,
58772.44921875,-2.2999147278609877,,0.2539319654714456,
58772.44921875,-1.2466800574827053,,0.34892117204628814,
58772.453125,-3.437224279247679,,2.1312927863893867,
58780.3515625,-2.5796112842264387,,0.38104063121189635,
58780.3515625,-1.8599230037233676,,1.1567136788338255,
58780.35546875,-1.5432242585930909,,0.6492800704222987,
58781.43359375,-1.4706541794114658,,1.0154001767875487,
58781.4375,-0.5203758887032883,,-0.9343287975143788,
58781.44140625,-0.8446407409368044,,0.8013740430003873,
58788.44140625,-1.8093772106444552,,0.8200655908330381,
58788.44140625,-1.5588071196998161,,-0.15529698058035102,
58788.4453125,-1.148861037939068,,-1.0420802205442241,
58794.3984375,2.7485086641615304,,-0.43429245194169763,
58794.40234375,1.4454409348040742,,2.1047371914782587,
58794.40234375,2.57322622613877,,0.8091052204560629,
58794.40625,3.263435338609354,,-0.029877085373896328,
58795.39453125,2.9537142774455396,,0.7223488586024183,
58795.39453125,3.5903348734195566,,0.16965160247215127,
58795.3984375,2.7624054097412474,,1.1120219841192105,
58795.40234375,3.034259810454924,,0.9813113822336588,
58796.33984375,1.860993785095884,,0.9071714017333239,
58796.33984375,2.9859324415177384,,0.12555549921771947,
58796.34375,3.9674175014055573,,-0.0624725294200994,
58796.34375,1.036372050980635,,1.945416182723573,
58797.38671875,2.83378619121947,,0.8079446694378628,
58797.38671875,3.5480363518461258,,-1.2414495341575429,
58797.38671875,2.4547428514965097,,1.2709113490045731,
58797.390625,2.5052064872699895,,-0.10325223794078164,
58798.21484375,3.750791676304597,,-0.6469331301003893,
58798.21875,3.814665179120977,,-1.035055900494894,
58798.22265625,0.9044311421608813,,0.5095165153714516,
58798.2265625,1.5967542937163288,,-1.006781245558996,
58833.328125,0.7408750643798636,,1.3368299173712193,
58833.3359375,2.1958854640293617,,0.8240497423310962,
58833.33984375,2.4271256770631053,,-0.15487113476514747,
58833.34375,1.9168193011114196,,0.08077703806153824,
58850.19921875,-0.10703224773170206,,-1.59562776075159,
58850.203125,-1.233375161164851,,-0.2785499840371912,
58850.203125,-1.9811019605245601,,-0.20983929795873202,
58850.20703125,-0.2087355184877282,,-1.184934011479939,
58852.12890625,0.04775049772629281,,-2.116621443709585,
58852.1328125,-1.2772149535760224,,-1.3867487658447697,
58852.1328125,0.018052891190891707,,-0.48856568287730884,
58852.13671875,-1.0991922876288518,,-1.5151803673388153,
58872.171875,2.052269175034668,,-2.477005599533585,
58872.171875,0.07607700210242108,,-0.7525834461325882,
58872.17578125,0.1691056984451631,,-0.38403377333470523,
58872.17578125,-0.0068782681722687755,,-2.5617180196078984,
58884.15625,3.9341292717754763,,-1.7801303447118935,
58884.16015625,4.109369302502828,,-1.8256706684079953,
58884.1640625,3.340863137308073,,-2.32364399540074,
58884.171875,3.4194846937482515,,-1.0251598389502936,
59088.49609375,3.414187208373079,,-2.587702929746996,
59088.5,-0.5462300521024996,,-1.3242766360682925,
59090.4921875,1.1622782106870542,,0.5186982554390287,
59097.5,4.218879968510789,,1.6430047007402937,
59097.5,4.883735142827612,,1.6495362451734712,
59099.4765625,1.6776133368635886,,1.0638489691062443,
59099.48046875,-0.5402742298879888,,2.2365094850765717,
59099.48046875,2.764104702533958,,-0.10275103914224992,
59109.46875,3.429178529369318,,0.3002903683973899,
59109.47265625,3.8580390149598003,,-0.3269343750055924,
59109.47265625,2.700866320982554,,-0.10436251110647099,
59118.44140625,-3.0305645394839895,,0.9197319235788223,
59118.44140625,-2.3262263689586504,,0.3641669464128584,
59118.4453125,-3.6373357618571713,,-0.09474319193862102,
59119.4375,-1.768645089160636,,-0.3421875267445311,
59119.4375,-1.3411768310661576,,-1.0939050524171345,
59119.44140625,-2.694068159939157,,0.12928656942461503,
59120.48046875,-2.3863567108283643,,-0.9261055437486778,
59120.484375,0.5508341390758345,,-2.2725676338872516,
59120.484375,-1.4430133495441018,,-0.8967011022985654,
59121.390625,-2.132822929919798,,-0.2793707699697441,
59121.39453125,-2.412016784057606,,-0.9385924431756862,
59121.3984375,-2.494111025892935,,-0.761130769699732,
59122.4296875,-2.746086205657317,,-0.6235965079041002,
59122.4296875,-2.9191622419689995,,-1.2630509891705426,
59122.43359375,-3.252763589368909,,0.596429264479367,
59123.49609375,-2.793448642117392,,-0.5151989151940253,
59123.49609375,-2.3676303661054483,,-0.21622471073721883,
59123.49609375,-3.0516691792228325,,-0.6460774991823346,
59132.48046875,2.174431760405488,,0.711989041658095,
59132.48046875,5.071035215487937,,0.03172469790377086,
59132.484375,4.378742668574807,,0.23955069208252544,
59146.28515625,2.2233315992844,,2.250003265279183,
59146.28515625,3.6594385834552643,,0.7910080975145686,
59146.296875,1.3721514172965597,,0.9420647949232732,
59146.296875,2.8301801879330206,,0.47585731334931225,
59152.37890625,-3.0164063719180145,,-1.0895129139090276,
59152.37890625,-3.7247314611114533,,-0.7473987622155889,
59152.3828125,-3.17693660405903,,-0.5742158360648872,
59153.40625,-6.842364629017071,,-0.2619067075912209,
59153.40625,-4.222815883863566,,-1.248765023057226,
59153.453125,-4.484481185435871,,-1.7920008445317963,
59153.453125,-3.452809367334824,,-2.049289117710968,
59153.453125,-3.1955674448812568,,-1.2040835303989104,
59156.3671875,-2.682861049143508,,-3.2007071624647843,
59156.41015625,-5.2117562486706195,,0.36197099604670235,
59156.4140625,-2.3708186449112505,,-2.9977654358376666,
59156.4140625,-4.314659223315751,,-0.8593752968862916,
59168.296875,0.7015557301397943,,-0.23365299448246146,
59179.33203125,1.6424795405841157,,0.22923178882321715,
59179.3359375,1.4197611596420117,,1.5009919178121962,
59179.3359375,2.737509577131001,,0.5303809514950819,
59180.2265625,-0.9822862331702888,,1.3891538125776217,
59180.23046875,1.4091818022054294,,-0.26226295326684645,
59180.234375,0.7763915679370523,,1.2402782575640305,
