Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58710.45703125,-1.1060757944693602,,-0.2839325709356775,
58711.4921875,1.165458362164344,,-1.0028849404600066,
58712.48828125,-0.26202461628933116,,-1.068855941498519,
58714.4921875,1.352702042686359,,-1.3350871170757717,
58715.48828125,0.15554884318894113,,-0.4698125796877288,
58716.4453125,0.20994008559429034,,-0.5146670789290155,
58719.45703125,-1.7157935633596704,,-1.0665793039984923,
58720.4765625,0.37696808265962756,,-1.9939509353693528,
58763.35546875,-0.5917575560487942,,0.611279830292194,
58764.3671875,-0.4274968507890532,,0.1246772060871405,
58772.40625,0.31626651473823664,,0.38036452415360067,
58780.26171875,0.013627931197254695,,0.6543928782023951,
58795.3515625,1.182832537847509,,-0.3431503514947343,
58796.23828125,0.6082627873051185,,0.6167038228757813,
58797.3359375,0.6103013971207736,,-0.07960968928362377,
58798.20703125,-1.17010389006084,,0.8253225754370523,
58850.14453125,-0.7362164329856056,,-0.4268174451147446,
59059.48046875,1.2721814858522997,,-0.07582510516358743,
59060.48046875,0.7118589549385851,,0.3853152968438772,
59061.4765625,0.41452885831631314,,1.0316901932708367,
59063.48046875,-0.07926077940282017,,-0.339907131900655,
59065.48828125,0.3102466831858115,,-0.5157915476142867,
59118.38671875,0.6544018350043233,,0.198631791778139,
59119.38671875,-0.052358135942489836,,0.7241936426077646,
59120.3828125,-1.4083539286308913,,0.7088057683039786,
59121.37890625,-0.6054854437433584,,0.7260971955258207,
59122.35546875,-0.25189628476195347,,0.7654218549037908,
59130.3046875,-1.1457627756194375,,1.1786364902925248,
59135.4296875,-0.08568734877498607,,0.5686953407918234,
59146.25,1.4216564482380372,,0.2687032283491126,
59153.37109375,-0.7534847829996536,,-1.0084565658038216,
59156.40234375,0.12594434642172203,,-1.5598217303814472,
59178.25,0.34010546593266966,,0.8505288688576051,
59180.1953125,0.310286938048252,,0.3043281096326478,
