Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s]
58710.45703125,0.32997663337575,,-0.12170293209301486,
58710.45703125,-0.9313653628068537,,-1.1816042220432237,
58710.4609375,-2.2181736237668974,,-0.6806235978019299,
58711.48828125,1.3594348561786724,,-0.8364486304818748,
58711.4921875,0.16963462104972182,,0.5498085138267633,
58712.48828125,-0.28116954478877304,,-0.3555121982644293,
58712.48828125,-0.8330131809032997,,-2.3175540601967777,
58712.48828125,0.21016169542164942,,-1.2187764218732893,
58714.4921875,1.499988647008529,,-1.276456156663294,
58714.4921875,1.5001316029530494,,-1.0038482581156267,
58714.4921875,0.7218408641423131,,-1.631273461687703,
58715.48828125,-0.43611234288829914,,-1.0798571198914657,
58715.4921875,0.002969976797779106,,0.28731971569589354,
58715.4921875,0.6299397970909004,,-0.9652604561597278,
58715.4921875,-0.5468364988091019,,-1.2304397266659755,
58715.49609375,-0.8119456669647489,,0.03984217098185905,
58716.44921875,1.3199458279895442,,-0.40595313256618415,
58716.44921875,-0.5369453020456529,,-1.3128101714762994,
58716.44921875,-0.6334671973072616,,-0.6784159617615657,
58716.453125,-0.33180902551539004,,-1.4435598513268748,
58719.453125,-1.841662409377824,,-0.6623136451988157,
58719.453125,-2.883151774915671,,0.5794473267843436,
58719.453125,-0.6712120089330926,,-1.9891666335341722,
58719.45703125,-1.4526503786618346,,-2.0469616622429303,
58719.45703125,-0.4159351393910735,,-1.4223762423340038,
58719.4609375,-2.0004997090657457,,0.017229831246918237,
58720.4609375,2.9761794803403037,,-0.9864421560106935,
58720.46484375,0.6312942554161411,,-2.5916759496412185,
58720.46484375,-1.5329296834319908,,-1.7244490811055866,
58720.46484375,-0.42745927559970864,,-0.4800659733128687,
58720.46875,-1.9521893028521664,,-1.648512215591661,
58720.46875,1.5956862885787002,,-0.517661610733465,
58720.46875,-1.6903537218554971,,-2.07819447627583,
58720.47265625,2.859943228178359,,-1.5702028520909366,
58720.47265625,-3.116791863436963,,-2.3492966178974894,
