#file_root	night	insmode	tplname	exptime	photocenter	airmass	seeing	adc_pos	azimuth	altitude	moon_ra	moon_dec	alpha	delta	equinox	mualpha	mudelta	radvel	version	sn10	sn20	sn30	sn40	sn50	sn60	berv	jdb	bervmx	th_file	lamp_used	th_cal_error	lamp_offset	dvrms	drift_algo	drift_ref_file	drift_bouchy	drift_ccf	drift_used	drift_nbcos	drift_fratio	drift_nbordkill	drift_noise	drift_qc	flux_corr_min	flux_corr_max	vrad0	vrad	svrad	fwhm	contrast	maxcpp	mask	nb_lines	noise	bis_span	bv	sn_CaII	s_raw	s_mw	sig_s	rhk	sig_rhk	prot_n84	sig_prot_n84	prot_m08	sig_prot_m08	age_m08	sig_age_m08	name	object	prog_id	dprtype	spectr
#---------	-----	-------	-------	-------	-----------	-------	------	-------	-------	--------	-------	--------	-----	-----	-------	-------	-------	------	-------	----	----	----	----	----	----	----	---	------	-------	---------	------------	-----------	-----	----------	--------------	------------	---------	----------	-----------	------------	---------------	-----------	--------	-------------	-------------	-----	----	-----	----	--------	------	----	--------	-----	--------	--	-------	-----	----	-----	---	-------	--------	------------	--------	------------	-------	-----------	----	------	-------	-------	------
HARPN.2015-10-26T22-40-21.666	2015-10-26	HARPN	HARPN_ech_obs_thosimult	900.000	0.4884	1.63	1.09	F	0.517	0.660	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	88.40	120.50	159.40	181.40	179.40	161.40	-26.40145	57322.452530	31.71403	HARPN.2015-10-26T17-00-11.981_wave_A.fits	THAR1	0.00034	0.00462	0.00055	Bouchy	HARPN.2015-10-26T17-00-11.981_e2ds_B.fits	0.00016	0.00000	0.00016	507	0.789	0	0.00009	PASSED	1.00000	1.00000	-17.41823	-17.41839	0.00085	7.60248	31.026	10455	G2	4638	0.00077	0.05765	0.000	54.60	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-10-29T19-07-56.396	2015-10-29	HARPN	HARPN_ech_obs_thosimult	900.000	0.4897	1.66	1.55	F	-0.550	0.645	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	66.60	95.50	127.90	144.10	141.00	128.00	-26.74217	57325.304777	31.71403	HARPN.2015-10-29T16-52-30.252_wave_A.fits	THAR1	0.00034	0.00478	0.00069	Bouchy	HARPN.2015-10-29T16-52-30.252_e2ds_B.fits	0.00049	0.00000	0.00049	462	0.759	3	0.00009	PASSED	1.00000	1.00000	-17.41507	-17.41557	0.00105	7.61937	30.914	6502	G2	4638	0.00099	0.05964	0.000	37.90	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-03T19-48-26.235	2015-11-03	HARPN	HARPN_ech_obs_thosimult	900.000	0.4871	1.49	1.22	F	-0.247	0.736	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	69.60	95.30	126.20	142.90	141.30	130.50	-27.87326	57330.332406	31.71403	HARPN.2015-11-03T16-54-53.823_wave_A.fits	THAR1	0.00035	0.00462	0.00068	Bouchy	HARPN.2015-11-03T16-54-53.823_e2ds_B.fits	0.00139	0.00000	0.00139	393	0.762	2	0.00008	PASSED	1.00000	1.00000	-17.41837	-17.41976	0.00104	7.60857	31.014	6573	G2	4638	0.00098	0.06662	0.000	43.40	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-04T19-49-08.121	2015-11-04	HARPN	HARPN_ech_obs_thosimult	900.000	0.4841	1.48	1.27	F	-0.221	0.740	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	68.30	92.60	123.00	141.30	144.50	140.70	-28.06295	57331.332764	31.71403	HARPN.2015-11-04T16-42-11.515_wave_A.fits	THAR1	0.00035	0.00464	0.00067	Bouchy	HARPN.2015-11-04T16-42-11.515_e2ds_B.fits	-0.00037	0.00000	-0.00037	502	0.785	3	0.00009	PASSED	1.00000	1.00000	-17.41807	-17.41770	0.00106	7.61677	30.844	6466	G2	4638	0.00099	0.05828	0.000	43.20	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-05T19-46-20.812	2015-11-05	HARPN	HARPN_ech_obs_thosimult	900.000	0.5111	1.48	1.45	F	-0.215	0.741	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	61.10	83.60	111.50	127.80	129.50	123.30	-28.23887	57332.331015	31.71403	HARPN.2015-11-05T16-50-23.250_wave_A.fits	THAR1	0.00034	0.00441	0.00075	Bouchy	HARPN.2015-11-05T16-50-23.250_e2ds_B.fits	0.00014	0.00000	0.00014	536	0.785	2	0.00009	PASSED	1.00000	1.00000	-17.42167	-17.42181	0.00116	7.61183	30.911	5255	G2	4638	0.00110	0.06090	0.000	38.30	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-09T19-50-30.054	2015-11-09	HARPN	HARPN_ech_obs_thosimult	900.000	0.4994	1.46	1.17	F	-0.103	0.753	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	69.50	93.80	124.90	144.50	147.50	141.20	-28.87984	57336.333399	31.71403	HARPN.2015-11-09T16-42-06.651_wave_A.fits	THAR1	0.00035	0.00468	0.00067	Bouchy	HARPN.2015-11-09T16-42-06.651_e2ds_B.fits	0.00354	0.00000	0.00354	525	0.780	2	0.00008	PASSED	1.00000	1.00000	-17.41755	-17.42109	0.00104	7.60836	30.872	6680	G2	4638	0.00097	0.05925	0.000	44.30	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-25T19-38-34.144	2015-11-25	HARPN	HARPN_ech_obs_thosimult	900.000	0.4186	1.48	0.00	F	0.187	0.745	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	11.20	17.60	25.10	29.00	29.40	29.30	-29.91716	57352.322688	31.71403	HARPN.2015-11-25T17-22-45.193_wave_A.fits	THAR1	0.00034	0.00455	0.00348	Bouchy	HARPN.2015-11-25T17-22-45.193_e2ds_B.fits	0.00332	0.00000	0.00332	565	0.796	1	0.00008	PASSED	1.00000	1.00000	-17.42307	-17.42639	0.00586	7.57424	30.519	312	G2	4638	0.00585	0.05920	0.000	5.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-26T19-57-18.820	2015-11-26	HARPN	HARPN_ech_obs_thosimult	900.000	0.5524	1.51	0.33	F	0.311	0.723	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	23.00	33.60	46.00	52.30	52.30	50.80	-29.94223	57353.336997	31.71403	HARPN.2015-11-26T16-21-54.001_wave_A.fits	THAR1	0.00034	0.00472	0.00174	Bouchy	HARPN.2015-11-26T16-21-54.001_e2ds_B.fits	0.00021	0.00000	0.00021	502	0.792	2	0.00009	PASSED	1.00000	1.00000	-17.41619	-17.41640	0.00291	7.60438	30.816	917	G2	4638	0.00289	0.06004	0.000	12.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-27T19-54-14.779	2015-11-27	HARPN	HARPN_ech_obs_thosimult	900.000	0.5346	1.51	0.00	F	0.315	0.722	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	18.20	27.10	37.40	42.60	42.70	41.60	-29.91864	57354.334583	31.71403	HARPN.2015-11-27T17-29-35.342_wave_A.fits	THAR1	0.00034	0.00446	0.00225	Bouchy	HARPN.2015-11-27T17-29-35.342_e2ds_B.fits	0.00556	0.00000	0.00556	489	0.783	3	0.00008	PASSED	1.00000	1.00000	-17.42297	-17.42853	0.00367	7.60183	30.801	625	G2	4638	0.00366	0.06294	0.000	9.80	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
HARPN.2015-11-27T20-13-34.187	2015-11-27	HARPN	HARPN_ech_obs_thosimult	1800.000	0.6233	1.61	2.08	F	0.489	0.671	0.000000	0.000000	22h26m18.190	-18:00:40.200	2000.0	0.07297	-0.11370	-99999.00000	HARPN_3.7	57.60	81.80	108.20	118.50	112.30	100.50	-29.96702	57354.355426	31.71403	HARPN.2015-11-27T17-29-35.342_wave_A.fits	THAR1	0.00034	0.00446	0.00082	Bouchy	HARPN.2015-11-27T17-29-35.342_e2ds_B.fits	0.00503	0.00000	0.00503	563	0.780	2	0.00008	PASSED	1.00000	1.00000	-17.41184	-17.41687	0.00124	7.60144	31.110	4547	G2	4638	0.00118	0.06436	0.000	33.30	0.000000	0.000000	0.000000	0.0000	0.0000	0.00	0.00	0.00	0.00	0.00	0.00	HD212657	HD212657	GTO	STAR,WAVE	F7
