BJD_UTC	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60	exptime	spectrograph	version
2457578.654482	-17418.35	3.39	7615.93	30.802	64.80	3.37	0.00	0.00	0.00	0.00	0.00	21.30	47.30	48.60	1800	HARPSN	HN3.8
2457579.649491	-17430.35	2.59	7605.58	30.778	62.51	2.56	0.00	0.00	0.00	0.00	0.00	27.60	60.40	61.90	900	HARPSN	HN3.8
2457579.731765	-17424.21	2.76	7605.97	30.723	69.10	2.74	0.00	0.00	0.00	0.00	0.00	26.00	57.10	58.80	900	HARPSN	HN3.8
2457580.632588	-17422.83	5.43	7612.94	30.826	84.62	5.42	0.00	0.00	0.00	0.00	0.00	13.30	31.80	32.90	900	HARPSN	HN3.8
2457616.542111	-17412.14	1.98	7600.58	30.978	66.37	1.95	0.15	0.00	0.00	0.00	0.00	36.70	74.40	71.00	900	HARPSN	HN3.8
2457616.617193	-17417.21	1.54	7601.12	30.961	57.61	1.50	0.15	0.00	0.00	0.00	0.00	47.80	96.00	91.70	900	HARPSN	HN3.8
2457617.550156	-17421.20	1.00	7607.11	30.904	59.35	0.94	0.15	0.00	0.00	0.00	0.00	76.10	153.10	145.40	900	HARPSN	HN3.8
2457617.621210	-17420.12	0.86	7606.07	31.099	59.51	0.79	0.15	0.00	0.00	0.00	0.00	92.70	176.50	156.90	900	HARPSN	HN3.8
2457618.547747	-17418.87	1.19	7599.73	30.832	64.95	1.14	0.15	0.00	0.00	0.00	0.00	63.00	128.80	125.80	900	HARPSN	HN3.8
2457618.620236	-17420.24	0.93	7603.07	30.960	59.38	0.86	0.15	0.00	0.00	0.00	0.00	84.60	167.40	158.30	900	HARPSN	HN3.8
2457651.428695	-17422.13	0.92	7610.28	30.916	61.28	0.85	0.15	0.00	0.00	0.00	0.00	84.40	170.90	162.30	900	HARPSN	HN3.8
2457651.524651	-17423.02	1.01	7610.01	30.850	60.47	0.95	0.15	0.00	0.00	0.00	0.00	75.20	155.90	152.60	900	HARPSN	HN3.8
2457652.427806	-17420.24	0.94	7607.65	30.927	59.83	0.87	0.15	0.00	0.00	0.00	0.00	82.80	167.50	160.90	900	HARPSN	HN3.8
2457652.525984	-17421.75	0.93	7612.78	30.752	60.09	0.87	0.15	0.00	0.00	0.00	0.00	82.90	174.90	177.80	900	HARPSN	HN3.8
2457653.432424	-17421.04	1.25	7599.69	31.043	61.33	1.20	0.15	0.00	0.00	0.00	0.00	59.50	118.00	110.50	900	HARPSN	HN3.8
2457653.528750	-17421.62	1.02	7608.95	31.043	59.84	0.96	0.15	0.00	0.00	0.00	0.00	75.60	147.60	136.20	900	HARPSN	HN3.8
2457654.432284	-17419.80	1.24	7610.21	30.913	62.20	1.19	0.15	0.00	0.00	0.00	0.00	59.90	122.60	118.50	900	HARPSN	HN3.8
2457654.530670	-17420.84	1.18	7607.73	30.796	57.12	1.13	0.15	0.00	0.00	0.00	0.00	63.10	131.70	133.20	900	HARPSN	HN3.8
2457655.509685	-17421.01	2.50	7598.19	30.844	59.19	2.47	0.14	0.00	0.00	0.00	0.00	28.60	62.00	62.70	900	HARPSN	HN3.8
2457656.435692	-17417.71	1.47	7613.13	30.902	58.65	1.43	0.15	0.00	0.00	0.00	0.00	49.80	102.20	99.60	900	HARPSN	HN3.8
2457656.513882	-17420.90	2.04	7621.36	30.846	61.84	2.01	0.15	0.00	0.00	0.00	0.00	35.30	75.20	75.80	900	HARPSN	HN3.8
2457657.430941	-17421.53	1.84	7614.39	30.862	68.24	1.81	0.15	0.00	0.00	0.00	0.00	39.20	82.20	81.90	1200	HARPSN	HN3.8
2457657.527904	-17417.57	2.38	7603.36	30.833	54.91	2.36	0.14	0.00	0.00	0.00	0.00	29.90	65.00	65.90	900	HARPSN	HN3.8
2457658.452820	-17423.68	1.81	7617.02	30.445	61.00	1.78	0.15	0.00	0.00	0.00	0.00	39.90	89.90	102.00	900	HARPSN	HN3.8
2457658.528093	-17423.22	1.53	7610.99	30.449	54.36	1.49	0.15	0.00	0.00	0.00	0.00	47.40	106.70	119.50	900	HARPSN	HN3.8
2457659.499383	-17420.47	0.94	7603.27	31.138	58.95	0.87	0.15	0.00	0.00	0.00	0.00	83.50	157.80	140.00	900	HARPSN	HN3.8
2457661.418487	-17417.11	0.93	7603.66	31.028	60.06	0.87	0.15	0.00	0.00	0.00	0.00	83.10	163.10	151.20	900	HARPSN	HN3.8
2457661.508759	-17419.64	1.18	7608.17	30.859	59.12	1.13	0.15	0.00	0.00	0.00	0.00	63.20	131.20	129.80	900	HARPSN	HN3.8
2457669.425941	-17425.30	1.18	7604.04	30.972	59.08	1.13	0.15	0.00	0.00	0.00	0.00	63.10	127.80	122.30	900	HARPSN	HN3.8
2457669.529256	-17429.52	1.47	7621.24	30.658	58.04	1.43	0.15	0.00	0.00	0.00	0.00	48.80	108.20	112.90	900	HARPSN	HN3.8
2457670.426405	-17415.20	1.39	7608.98	31.240	59.02	1.34	0.15	0.00	0.00	0.00	0.00	54.00	98.80	86.40	900	HARPSN	HN3.8
2457670.511618	-17421.06	1.05	7606.50	31.105	58.11	0.99	0.15	0.00	0.00	0.00	0.00	71.80	138.80	125.60	900	HARPSN	HN3.8
2457671.419182	-17420.37	0.92	7602.12	31.088	57.96	0.86	0.15	0.00	0.00	0.00	0.00	84.00	162.20	148.20	900	HARPSN	HN3.8
2457671.506236	-17423.02	0.88	7610.45	30.985	57.82	0.81	0.15	0.00	0.00	0.00	0.00	88.70	177.40	165.00	900	HARPSN	HN3.8
2457672.422952	-17418.24	0.90	7606.60	30.912	60.34	0.83	0.15	0.00	0.00	0.00	0.00	86.20	176.00	170.40	900	HARPSN	HN3.8
2457672.508652	-17416.55	0.78	7607.27	31.110	59.01	0.70	0.15	0.00	0.00	0.00	0.00	103.30	198.10	175.00	900	HARPSN	HN3.8
2457673.416804	-17418.95	1.08	7615.96	30.955	58.15	1.02	0.15	0.00	0.00	0.00	0.00	70.50	140.50	134.80	900	HARPSN	HN3.8
2457673.508024	-17417.86	1.08	7616.44	30.791	56.59	1.02	0.15	0.00	0.00	0.00	0.00	69.30	145.30	146.80	900	HARPSN	HN3.8

